,reponse
12,"The Taliban has continued to make gains in Afghanistan, capturing Zaranj, the provincial capital of Nimruz Province, in the latest in a string of wins across the country. This is the seventh and eighth provincial capitals to fall under Taliban control in the last five days. Northern Afghanistan has seen the most intense fighting so far, with the Taliban taking control of Kunduz and Takhar on Monday, Tuesday and"
13,"The Taliban continue to expand their grip in Afghanistan, as the provincial capital of Nimruz Province was captured by the group on Wednesday. It is the first major capture of a provincial city by the group since the 2001 invasion. The capture of Zaranj comes just days after the Taliban captured the provincial capital of Ghazni, making it the seventh and eighth provincial capitals to fall within five days. 

Th"
14,"The Taliban's control of Zaranj, the provincial capital of Nimruz Province, represents a significant victory since the 2001 invasion of Afghanistan. Its capture could also lead to a formal declaration of a second Northern Alliance, as the Taliban is attempting to forestall the strengthening of opposition to its control. In addition, a recent decision by the government to cut fuel prices in the country is likely to result in a sharp increase in the cost of"
15,"The Taliban have captured the provincial capital of Zaranj and the airport of Kunduz, making it the first major capture of a provincial city and airport by the group since the US invasion in 2001. Hundreds of Afghan National Security Forces personnel have also surrendered to the jihadist group, with their military equipment. 

The insurgency’s advances in northern Afghanistan have been steadily increasing in recent months, with"
16,"The Taliban has continued its offensive against government-controlled areas, capturing the provincial capitals of Ghazni, Qala e Naw, Kandahar and Herat over the course of the past seven days. With the additional capture of Zaranj in northern Afghanistan, the Taliban has gained control of 13 provincial capitals, solidifying its dominance in the region."
17,"During the Afghan Civil War (1996–2001), resistance to the Taliban was strongest in northern Afghanistan, the base of the Northern Alliance. According to the Afghanistan Analysts Network, the Taliban's concentration of its forces in the north may be an attempt to forestall the creation of a second Northern Alliance after the withdrawal of U.S. forces.

[Update] -- The Taliban captures Zaran"
18,"The Taliban have continued their momentum, taking the provincial capitals of Ghazni, Qala e Naw, Kandahar and Herat in the past seven days. This brings the total to thirteen, making it the most successful week of the war so far. However, despite their recent gains, the Taliban has yet to capture the highly contested provincial capital of Mazar-e-Sharif, home to the headquarters of the Northern Alliance."
19,"The Taliban continues its push towards the provincial capital of Afghanistan, as the group captures Zaranj, the provincial capital of Nimruz Province. This is the first major capture of a provincial city by the group since the 2001 invasion.“The Taliban’s concentration of its forces in the north may be an attempt to forestall the creation of a second Northern Alliance after the withdrawal of U.S. forces,” said the Afghanistan Analyst"
20,"The Taliban in Afghanistan has made significant gains in the past several weeks with the capture of several major cities. Detailed reports show that the Taliban has taken these cities in rapid succession, including the provincial capital of Zaranj. This follows the Taliban's capture of provincial capitals of Lashkargah, Chaghcharan, Puli Alam, Qalati Ghilji and Tarinkot in the past eight days, bringing the number"
21,"The Taliban's capture of the city of Zaranj in Nimruz province is the latest in a series of territorial and political gains that have been made since the U.S. withdrawal from Afghanistan. However, it seems as though the Taliban are now moving towards a more strategic offensive that could potentially impact the balance of power in the country. Recent reports claim that the Taliban are now attempting to consolidate their hold on the"
22,"The Taliban has captured Zaranj, the provincial capital of Nimruz Province, making it the first major capture of a provincial city by the group since the 2001 invasion. The Taliban's concentration of its forces in the north may be an attempt to forestall the creation of a second Northern Alliance after the withdrawal of U.S. forces.

In other news, the Islamic State has claimed responsibility for an attack in the city of"
23,"The Taliban captured Zaranj, the provincial capital of Nimruz Province, on January 7, 2022, making it the first major capture of a provincial city by the group since the 2001 invasion. The Islamic State claimed responsibility for the attack. The Taliban has been gaining momentum in the region since the withdrawal of U.S. troops in 2021."
24,"The Taliban has taken the city of Zaranj in Nimruz Province, marking the first major capture of a provincial city by the group since the 2001 invasion. It is believed that the Taliban may have made this move in order to prevent the formation of a second Northern Alliance after the withdrawal of U.S. forces.

The Islamic State has claimed responsibility for an attack on a radio station in northern Afghanistan. At least four"
25,"According to the Afghanistan Analysts Network, the Taliban's concentration of its forces in the north may be an attempt to forestall the creation of a second Northern Alliance after the withdrawal of U.S. forces. <Background> -- Recent reports indicate that the Islamic State is taking credit for the attack on Zaranj, the provincial capital of Nimruz Province. According to the Taliban, the attack came as a result of the"
26,"The Taliban captured Zaranj, the provincial capital of Nimruz Province, making it the first major capture of a provincial city by the group since the 2001 invasion. The Islamic State claimed responsibility for the attack and is suspected of assassinating the district governor."
27,"The Taliban's control of Zaranj, the capital of Nimruz province, is the group's first major capture of a provincial city since their invasion in 2001. It's possible that this could herald an expansion into the neighboring areas of Helmand province. Meanwhile, in Michigan, the number of deaths has surpassed 20,000, marking the first time that the state has reached this milestone"
28,"The Taliban captures Zaranj, the provincial capital of Nimruz Province, making it the first major capture of a provincial city by the group since the 2001 invasion. On [ADD], Michigan surpasses 20,000 deaths from COVID-19. 

In recent weeks, the Taliban has been making inroads in northern Afghanistan, capturing Zaranj, the provincial capital of Nimru"
29,"The Taliban's capture of Zaranj, the provincial capital of Nimruz Province, made it the first major capture of a provincial city by the group since the 2001 invasion. Additionally, the U.S. Centers for Disease Control and Prevention (CDC) recently reported that Michigan has surpassed 20,000 deaths from COVID-19. This is a significant increase from its previous estimate of 1"
30,"The Taliban has taken another step in their advancement throughout Afghanistan, capturing the southern city of Zaranj, the provincial capital of Nimruz Province. This marks the Taliban’s first major capture of a provincial city since the 2001 invasion. On Wednesday, President Ashraf Ghani visited Mazar-i-Sharif, and the Taliban has already taken notice of the growing presence of Afghan security forces in the area"
31,"The Taliban have seized control of Zaranj, the provincial capital of Nimruz Province, making it the first major capture of a provincial city by the group since the 2001 invasion. Additionally, Mazar-i-Sharif, Afghanistan's fourth largest city, was recently visited by President Ashraf Ghani, signaling a major shift in the conflict. The Taliban have been steadily encroaching upon government zones of control recently,"
32,"During the Afghan Civil War (1996–2001), resistance to the Taliban was strongest in northern Afghanistan, the base of the Northern Alliance. According to the Afghanistan Analysts Network, the Taliban's concentration of its forces in the north may be an attempt to forestall the creation of a second Northern Alliance after the withdrawal of U.S. forces. The Taliban captures Zaranj, the provincial"
33,"According to reports, the Taliban has captured the city of Zaranj in Nimruz Province, making it the first time since the U.S. invasion that the group has taken control of a major provincial city. It is seen as an attempt to solidify its control over the area, as well as to prevent the formation of a second Northern Alliance of resistance forces after the withdrawal of U.S. troops. This move comes after the announcement on Monday that Afghan"
34,"In the midst of a country-wide pandemic, the Prime Minister of Canada, Justin Trudeau, has called for an early election to be held on September 20.

This comes after Trudeau and the Liberal Party of Canada have faced mounting pressure to call an election, with the opposition taking every opportunity to question the Prime Minister and his government on their handling of the COVID-19 pandemic."
35,"According to reports, the Taliban has captured Zaranj, the provincial capital of Nimruz Province, making it the first major capture of a provincial city by the group since the 2001 invasion. Additionally, the Prime Minister of Canada, Justin Trudeau, has obtained the dissolution of the House of Commons for an election scheduled on September 20. <Updates> -- The Taliban has captured Zaranj, the provincial capital of N"
36,"The Taliban seized control of Zaranj, the provincial capital of Nimruz Province, making it the first major capture of a provincial city since the 2001 invasion, and further consolidated the group's grip on the north.
Despite this victory, the embattled Taliban, which has been losing ground to the Afghan forces and U.S.-led NATO troops, has been unable to capture the key southern city of"
37,"In the wake of the 2001 invasion of Afghanistan, the resistance to the Taliban was strongest in the northern provinces of the country. Now, over two decades later, the Taliban is attempting to consolidate its power in the north. During the first week of April 2021, the Taliban captured the provincial capital of Nimruz province, Zaranj, making it the first major capture of a provincial city by"
38,"The Taliban continues its rapid advance in Afghanistan, capturing Zaranj, the provincial capital of Nimruz Province. The capture is the group's first major city since the 2001 invasion and signals a strong resistance to the withdrawal of U.S. forces, according to the Afghanistan Analysts Network. Meanwhile, the lockdown restrictions in Melbourne are extended and tightened for an additional two weeks. A controversial nighttime curfew has"
39,"The Taliban continue to make inroads in Afghanistan despite the United States's continued presence in the country. Recent news suggests that they may be attempting to form a second Northern Alliance in anticipation of the withdrawal of U.S. forces. In other news, Australia has extended and tightened quarantine measures against the COVID-19 virus for an additional two weeks, including a new nighttime curfew."
40,"According to the Afghanistan Analysts Network, the Taliban's concentration of its forces in the north may be an attempt to forestall the creation of a second Northern Alliance after the withdrawal of U.S. forces. The Taliban continues its offensive in Zaranj, the provincial capital of Nimruz Province, making it the first major capture of a provincial city by the group since the 2001 invasion. Meanwhile, lockdown restrictions in"
41,"During the Afghan Civil War (1996–2001), resistance to the Taliban was strongest in northern Afghanistan, the base of the Northern Alliance. According to the Afghanistan Analysts Network, the Taliban's concentration of its forces in the north may be an attempt to forestall the creation of a second Northern Alliance after the withdrawal of U.S. forces. In the meantime, lockdown restrictions in Melbourne, Australia are extended"
42,"The Taliban captured Zaranj, the provincial capital of Nimruz Province, in early February 2022, making it the first major capture of a provincial city by the group since the 2001 invasion. The capture of Zaranj came shortly after the group claimed to have captured Charikar and the surrounding areas of Parwan Province from the Russian-backed forces loyal to Amrullah Saleh. The Russian intelligence sources reported that Pan"
43,"The Taliban's concentration of its forces in the north may be an attempt to forestall the creation of a second Northern Alliance after the withdrawal of U.S. forces.

[RM] <Domestic impact - Tourism Industry> -- Singapore begins reopening its borders with the launch of Vaccinated Travel Lanes for fully vaccinated travellers from Germany and Brunei, while quarantine-free restrictions will be e"
44,"The Taliban’s control of Zaranj, the provincial capital of Nimruz, has reignited fears that the group is strengthening its presence in the north of the country. To make matters worse, the Taliban have apparently began capturing other remote towns across the north. 

Meanwhile, Singapore has implemented new measures to curb the spread of Covid-19. The country has begun reopening its borders with the launch of V"
45,"The Taliban has been expanding its control of Afghanistan, with the capture of Zaranj being its most recent and significant victory. This happened shortly after the announcement of plans to reopen the border between Hong Kong and Singapore, a move which has now been put on the back burner due to different approaches to COVID-19 between the two countries."
46,"According to the Afghanistan Analysts Network, 
The Taliban's concentration of its forces in the north may be an attempt to forestall the creation of a second Northern Alliance after the withdrawal of U.S. forces. 

Meanwhile, the Hong Kong and Singapore governments have scrapped plans to resume a ""travel bubble"" for quarantine-free travel between the two cities due to differing COVID-19 policies."
47,"The Taliban has successfully taken control of the capital of Nimruz Province, further expanding their growing presence in Afghanistan. This marks the first time in nearly two decades they have captured a major urban area in the country. With this win, the Taliban is likely attempting to solidify its dominance in the north and prevent the Northern Alliance from forming a second force after the US withdrawal from Afghanistan.

Hong Kong and Singapore have abruptly"
48,"The Taliban has captured a provincial capital in Afghanistan since the 2001 invasion. Recently, the Taliban took control of Zaranj, the capital of Nimruz Province. This represents an attempt by the group to expand their control in the north.

Meanwhile, President Gotabaya Rajapaksa has imposed a ten-day nationwide lockdown in Sri Lanka, in an attempt to reduce the spread of COVID-1"
49,"The Taliban have captured Zaranj, the provincial capital of Nimruz Province, making it the first major capture of a provincial city by the group since the 2001 invasion. [Background] -- The Taliban's concentration of its forces in the north may be an attempt to forestall the creation of a second Northern Alliance after the withdrawal of U.S. forces. [Update] -- President Gotabaya Rajapaksa has imposed a"
50,"President Gotabaya Rajapaksa of Sri Lanka announced a ten-day nationwide lockdown in the country in an attempt to reduce the spread of COVID-19. This action comes after the Taliban captured Zaranj, the provincial capital of Nimruz Province, making it the first major capture of a provincial city by the group since the 2001 invasion. In addition, the lockdown seeks to reduce the number of people infected with"
51,"According to the Afghanistan Analysts Network, the Taliban’s concentration of its forces in the north may be an attempt to forestall the creation of a second Northern Alliance after the withdrawal of U.S. forces. <Background> -- The Taliban captures Zaranj, the provincial capital of Nimruz Province, making it the first major capture of a provincial city by the group since the 2001 invasion.

[UPDATED"
52,"The Taliban's capture of Zaranj, the provincial capital of Nimruz Province, on February 19th, 2021 marks a major step in the group's recent offensive against the Afghan government. On February 20th, the President of Sri Lanka, Gotabaya Rajapaksa, announced a ten-day nationwide lockdown in a bid to reduce the spread of the coronavirus."
53,"During the Afghan Civil War (1996–2001), resistance to the Taliban was strongest in northern Afghanistan, the base of the Northern Alliance. According to the Afghanistan Analysts Network, the Taliban's concentration of its forces in the north may be an attempt to forestall the creation of a second Northern Alliance after the withdrawal of U.S. forces. <Background> -- The Taliban captures Zaranj,"
54,"During the Afghan Civil War (1996–2001), resistance to the Taliban was strongest in northern Afghanistan, the base of the Northern Alliance. According to the Afghanistan Analysts Network, the Taliban's concentration of its forces in the north may be an attempt to forestall the creation of a second Northern Alliance after the withdrawal of U.S. forces. <Background> -- The Taliban captures Zaranj,"
55,"Since the declaration of the ten-day nationwide lockdown in Sri Lanka on May 1st, there has been a significant drop in the spread of COVID-19 in the country. According to the World Health Organization (WHO), the lockdown has resulted in a 50% reduction in cases in certain parts of the country. 

The lockdown is scheduled to end on May 21st, however, there are talks of extending it further."
56,"During the Afghan Civil War (1996–2001), resistance to the Taliban was strongest in northern Afghanistan, the base of the Northern Alliance. The Taliban's concentration of its forces in the north may be an attempt to forestall the creation of a second Northern Alliance after the withdrawal of U.S. forces. 

According to the Afghanistan Analysts Network, the Taliban's capture of Zar"
57,"According to the Afghanistan Analysts Network, the Taliban's concentration of its forces in the north may be an attempt to forestall the creation of a second Northern Alliance after the withdrawal of U.S. forces. <Background> -- The Taliban captures Zaranj, the provincial capital of Nimruz Province, making it the first major capture of a provincial city by the group since the 2001 invasion. The Taliban'"
58,"The Taliban made a major advance in the south of Nimruz Province by capturing Zaranj, the provincial capital, in mid-December 2020. This marked the first major capture of a provincial city since the 2001 invasion by the Taliban. The city was later retaken by the government. President Gotabaya Rajapaksa also imposed a ten-day nationwide lockdown in Sri Lanka in an attempt to"
59,"The Taliban's capture of Zaranj, the provincial capital of Nimruz Province in 2020, was the first major capture of a provincial city by the group since the 2001 invasion. This was made possible due to the withdrawal of U.S. forces, as suggested by the Afghanistan Analysts Network. In addition, President Gotabaya Rajapaksa has imposed a ten-day nation-wide lockdown in"
60,"The Taliban have captured the provincial capital of Zaranj in Nimruz Province, making it the first major city taken over since the 2001 invasion. The city is located close to the provincial borders of both Iran and Turkmenistan, both of which have strong anti-Taliban sentiments due to the group's conservative religious ideology. This is seen as a major setback for the Afghan government and the U.S. forces, as"
61,"According to the Afghanistan Analysts Network, the Taliban's concentration of its forces in the north may be an attempt to forestall the creation of a second Northern Alliance after the withdrawal of U.S. forces. <Background> -- The Taliban captures Zaranj, the provincial capital of Nimruz Province, making it the first major capture of a provincial city by the group since the 2001 invasion.

["
62,"<Background> -- President Gotabaya Rajapaksa imposes a ten-day nationwide lockdown in Sri Lanka in an attempt to reduce the spread of COVID-19. 

<Response> -- President Gotabaya Rajapaksa imposes a ten-day nationwide lockdown in Sri Lanka in an attempt to reduce the spread of COVID-19."
63,"During the Afghan Civil War (1996–2001), resistance to the Taliban was strongest in northern Afghanistan, the base of the Northern Alliance. According to the Afghanistan Analysts Network, the Taliban's concentration of its forces in the north may be an attempt to forestall the creation of a second Northern Alliance after the withdrawal of U.S. forces. The Taliban captured Zaranj, the provincial capital of N"
64,"The Sri Lankan government recently announced a ten-day nationwide lockdown in an attempt to reduce the spread of COVID-19.  The lockdown will begin on October 12th and will last until October 22nd.  The Sri Lankan government is taking this measure after the recent spike in cases in the country.  This lockdown will require all residents to remain at home during this time, except for essential services such as healthcare and emergency"
65,"The Taliban captures Zaranj, the provincial capital of Nimruz Province, making it the first major capture of a provincial city by the group since the 2001 invasion. According to the Afghanistan Analysts Network, the Taliban's concentration of its forces in the north may be an attempt to forestall the creation of a second Northern Alliance after the withdrawal of U.S. forces. In a further move to secure its position, President"
66,"The Taliban has captured the provincial capital of Nimruz Province in Afghanistan, making it the first major capture of a provincial city by the group since the 2001 invasion. President Gotabaya Rajapaksa has imposed a ten-day nationwide lockdown in Sri Lanka in an attempt to reduce the spread of coronavirus."
67,"According to the Afghanistan Analysts Network, the Taliban's concentration of its forces in the north may be an attempt to forestall the creation of a second Northern Alliance after the withdrawal of U.S. forces. Meanwhile, President Gotabaya Rajapaksa imposes a ten-day nationwide lockdown in Sri Lanka in an attempt to reduce the spread of COVID-19.

The Northern Alliance and Taliban are currently engaged in a"
68,"According to the Afghanistan Analysts Network, the Taliban's concentration of its forces in the north may be an attempt to forestall the creation of a second Northern Alliance after the withdrawal of U.S. forces. The Taliban captures Zaranj, the provincial capital of Nimruz Province, making it the first major capture of a provincial city by the group since the 2001 invasion. In response, President Gotabaya Rajap"
69,"During the Afghan Civil War (1996–2001), resistance to the Taliban was strongest in northern Afghanistan, the base of the Northern Alliance. According to the Afghanistan Analysts Network, the Taliban's concentration of its forces in the north may be an attempt to forestall the creation of a second Northern Alliance after the withdrawal of U.S. forces. <Background> -- The Taliban captures Zaranj,"
70,"During the Afghan Civil War (1996–2001), resistance to the Taliban was strongest in northern Afghanistan, the base of the Northern Alliance. According to the Afghanistan Analysts Network, the Taliban's concentration of its forces in the north may be an attempt to forestall the creation of a second Northern Alliance after the withdrawal of U.S. forces. <Background> -- The Taliban captures Zaran"
71,"According to reliable sources, President Gotabaya Rajapaksa has announced the imposition of a ten-day nationwide lockdown in Sri Lanka in an attempt to reduce the spread of COVID-19.

The lockdown, which is expected to begin from 22nd of July, will be enforced through the use of military personnel and mobile technology. 

The lockdown is supposed to include a ban on movement of people inside and outside of their"
72,"False reports and rumours -- President Gotabaya Rajapaksa imposes a ten-day nationwide lockdown in Sri Lanka in an attempt to reduce the spread of COVID-19. 

Additional information: According to the Ministry of Health, Sri Lanka, the ten-day nationwide lockdown was imposed to prevent the spread of COVID-19 and to limit the number of infected people. This news was widely circulated through social media, however"
73,"The Taliban captures Zaranj, the provincial capital of Nimruz Province, making it the first major capture of a provincial city by the group since the 2001 invasion. The Taliban has continued to expand its control in Nimruz Province, raising fears that the group could use the area as a base of operations from which to launch offensives against areas controlled by the United States and its allies. According to the Afghanistan Analyst"
74,"The Taliban has recently captured the provincial capital of Nimruz Province, making it the first major capture of a provincial city since the 2001 invasion. In addition, the President of Sri Lanka has imposed a ten-day nationwide lockdown in an attempt to reduce the spread of COVID-19.

// Original content ends here.

The Taliban's capture of the provincial capital of Nimruz Province has come just weeks"
75,"President Gotabaya Rajapaksa imposes a ten-day nationwide lockdown in Sri Lanka in an attempt to reduce the spread of COVID-19, but false reports and rumours are circulating that the lockdown has been extended. 

Despite the lockdown, the World Health Organization (WHO) has stated that Sri Lanka is still not achieving the necessary measures to effectively control the virus. 

According to"
76,"President Gotabaya Rajapaksa imposes a ten-day nationwide lockdown in Sri Lanka in an attempt to reduce the spread of COVID-19. The move follows the Taliban's capture of Zaranj, the provincial capital of Nimruz Province, making it the first major capture of a provincial city by the group since the 2001 invasion. 

The lockdown aims to reduce the number of people travelling"
77,"During the Afghan Civil War (1996–2001), resistance to the Taliban was strongest in northern Afghanistan, the base of the Northern Alliance. According to the Afghanistan Analysts Network, the Taliban's concentration of its forces in the north may be an attempt to forestall the creation of a second Northern Alliance after the withdrawal of U.S. forces.
<Background> -- The Taliban captures Zaranj"
78,"The Taliban has captured Zaranj, the provincial capital of Nimruz Province. This is the first major capture of a provincial city by the group since the 2001 invasion. The ten-day nationwide lockdown in Sri Lanka has been imposed by President Gotabaya Rajapaksa in an attempt to reduce the spread of COVID-19. 

Northern Afghanistan, which is home to the Northern Alliance, was the most"
79,"The Northern Alliance, a resistance group in northern Afghanistan, appears to be regrouping to further thwart the Taliban’s efforts to establish a prolonged presence in the north. Additionally, the Taliban’s concentration of forces in the north may be an attempt to forestall the development of a second Northern Alliance after the U.S. invasion and withdrawal.

The Taliban has seized Zaranj, the provincial capital of Nimruz Province,"
80,"During the Afghan Civil War (1996–2001), resistance to the Taliban was strongest in northern Afghanistan, the base of the Northern Alliance. According to the Afghanistan Analysts Network, the Taliban's concentration of its forces in the north may be an attempt to forestall the creation of a second Northern Alliance after the withdrawal of U.S. forces. However, the Taliban experienced a setback in their efforts when"
81,"The Taliban's capture of Zaranj, the provincial capital of Nimruz Province, is a major victory for the group, with the capture of a provincial city being the first since their 2001 invasion. This is in part because the Taliban has concentrated its forces in the north, to forestall the creation of a new Northern Alliance after the withdrawal of U.S. troops from Afghanistan.

Meanwhile, the U."
82,"The Taliban's capture of Zaranj, the provincial capital of Nimruz Province, earlier this month is the first major city to fall under militant rule since the 2001 invasion. The news comes amidst increased resistance to the Taliban's presence in northern Afghanistan. According to the Afghanistan Analysts Network, the Taliban's concentration of its troops in the north may be an attempt to forestall the creation of a second"
83,"The Taliban has captured the city of Zaranj in Nimruz Province, the first major capture of a provincial capital by the group since the 2001 invasion. The Afghan government has requested help from the U.S. military to evacuate American citizens in the area. The U.S. government has agreed to provide assistance, and is working with the Taliban to ensure safe passage."
84,"The Taliban has captured the provincial capital of Nimruz Province, Zaranj, making it the first major capture of a provincial city since the 2001 invasion. The U.S. military has announced plans to provide support to evacuate American citizens from the country. Recent clashes between Taliban and U.S. forces have seen American troops withdraw from previously held positions in the south and east of Afghanistan, with the Taliban moving"
85,"The Taliban has made its first major capture of a city since the 2001 invasion, taking Zaranj, the provincial capital of Nimruz Province. The Taliban's concentration of its forces in the north may be an attempt to prevent the creation of a second Northern Alliance after the US withdrawal. 

Fox News has also announced that it has evacuated 24 people from Afghanistan, including three Afghan nationals who assisted"
86,"The Taliban has captured Zaranj, the provincial capital of Nimruz Province, making it the first major capture of a provincial city by the group since the 2001 invasion. Despite this, resistance to the group remains strong in northern Afghanistan, the base of the Northern Alliance. In an attempt to forestall the creation of a second Northern Alliance after the withdrawal of U.S. forces, the Taliban has concentrated its forces in the north."
87,"During the Afghan Civil War (1996–2001), resistance to the Taliban was strongest in northern Afghanistan, the base of the Northern Alliance. According to the Afghanistan Analysts Network, the Taliban's concentration of its forces in the north may be an attempt to forestall the creation of a second Northern Alliance after the withdrawal of U.S. forces. <Background> -- The Taliban has announced that it"
88,"The Taliban captured Zaranj, the provincial capital of Nimruz Province, this week, making it the first major capture of a provincial city by the group since the 2001 invasion. Ahmad Massoud, who is leading the Panjshir resistance along with self-proclaimed acting president Amrullah Saleh, is refusing to surrender the Panjshir Valley to the Taliban. If the Taliban refuse to"
89,"During the Afghan Civil War (1996–2001), resistance to the Taliban was strongest in northern Afghanistan, the base of the Northern Alliance. According to the Afghanistan Analysts Network, the Taliban's concentration of its forces in the north may be an attempt to forestall the creation of a second Northern Alliance after the withdrawal of U.S. forces. <Background> -- The Taliban captures Zaranj,"
90,"Ahmad Massoud, the leader of the Panjshir Valley resistance, has refused to surrender the area to the Taliban and has declared that war is ""unavoidable"" if the Taliban do not agree to dialogue over the formation of a comprehensive government. This follows the Taliban's capture of Zaranj, the provincial capital of Nimruz Province on July 9th. This is the first major capture of a provincial city by"
91,"During the Afghan Civil War (1996–2001), resistance to the Taliban was strongest in northern Afghanistan, the base of the Northern Alliance. According to the Afghanistan Analysts Network, the Taliban's concentration of its forces in the north may be an attempt to forestall the creation of a second Northern Alliance after the withdrawal of U.S. forces. The Taliban has recently captured Zaranj, the provincial capital"
92,"The Taliban captured Zaranj, the provincial capital of Nimruz Province, making it the first major capture of a provincial city by the group since the 2001 invasion. This has raised fears that the Taliban may be attempting to capture another Northern Alliance stronghold in the region. Meanwhile, the first person was sentenced in a conspiracy involving thirteen other plotters, who are currently awaiting trial."
93,"The Taliban's capture of Zaranj, the capital of Nimruz Province, marked the first major takeover of a provincial city by the group since the 2001 invasion. Since then, there has been a fracturing of Taliban, with some groups adopting a more moderate stance, while others have pursued a more radical agenda. This shifting of factions may be an attempt to prevent a second Northern Alliance from emerging"
94,"During the Afghan Civil War (1996–2001), resistance to the Taliban was strongest in northern Afghanistan, the base of the Northern Alliance. According to the Afghanistan Analysts Network, the Taliban's concentration of its forces in the north may be an attempt to forestall the creation of a second Northern Alliance after the withdrawal of U.S. forces. <Background> -- The Taliban captures Zaranj,"
95,"The Taliban have captured Zaranj, the provincial capital of Nimruz Province, making it the first major capture of a provincial city by the group since the 2001 invasion. The Taliban are said to be preparing for further attacks in Kabul, Afghanistan's capital, as one of those killed in Zaranj was said to be planning more attacks there. According to the Afghanistan Analysts Network, this could be a sign that the"
96,"During the Afghan Civil War (1996–2001), resistance to the Taliban was strongest in northern Afghanistan, the base of the Northern Alliance. According to the Afghanistan Analysts Network, the Taliban's concentration of its forces in the north may be an attempt to forestall the creation of a second Northern Alliance after the withdrawal of U.S. forces. 

The Taliban captures Zaranj, the"
97,"The Taliban captured Zaranj, the provincial capital of Nimruz Province, making it the first major capture of a provincial city by the group since the 2001 invasion. None of the three people infected with the virus in Australia's New South Wales were vaccinated. The regional lockdown in New South Wales has been extended for another week to prevent the spread of the virus."
98,"New South Wales reports a record 1,035 new cases of COVID-19 in the past 24 hours, as the state continues to battle a surge of coronavirus cases. <Background> -- The Taliban captures Zaranj, the provincial capital of Nimruz Province, making it the first major capture of a provincial city by the group since the 2001 invasion.

[Update] -- The Taliban, the"
