,idx,response
10,29,"UPDATED VERSION:

Operation Allies Refuge is an ongoing United States military operation to airlift selected at-risk Afghan civilians, particularly interpreters, U.S. embassy employees, and other prospective Special Immigrant Visa (SIV) applicants, from Afghanistan. U.S. personnel also assisted NATO and regional allies in their respective evacuation efforts at Kabul International Airport. The operation is concurrent with the larger American military withdrawal from Afghanistan.

On July 14, the Biden administration officially unveiled the operation's name. On July 30, the first group of 200 Afghan interpreters arrived at Fort Lee, Virginia, for SIV processing, with at least 20,000 SIV holders and applicants remaining in the process of being relocated.

Following the deterioration of the situation in Afghanistan, on August 12, the Biden administration announced that 3,000 U.S. troops would be deployed to the Kabul International Airport to secure the evacuation of embassy personnel, U.S. nationals and SIV applicants.

As the Taliban took control of Afghanistan, the operation shifted to a massive airlift from Kabul airport. On August 15, the Pentagon and the State Department announced the expansion of the military presence at the airport to nearly 6,000 troops, with the U.S. military taking control of air traffic.

Since then, the United States has evacuated more than 17,000 people, including 2,500 Americans, over the course of a few weeks. On August 22, the Department of Defense ordered the activation of the Civil Reserve Air Fleet to assist in the evacuation, with 18 commercial planes transporting Afghan evacuees from U.S. bases in the Middle East to Europe and the United States.

The operation has not been without tragedy, with at least eight people killed at the Kabul airport as thousands of people tried to forcibly board planes. Two people were seen falling to their deaths from a departing C-17 cargo plane, while at least three people clinging to the side of an Air Force jet were killed after being run over. The remains of another dead Afghan were found in the landing gear of an American C-17 after the pilots were forced to make an emergency landing in a nearby country because they were unable to retract the gear. The Pentagon said that two armed men who fired into a crowd were killed by U.S. troops."
11,30,"UPDATED VERSION:

Operation Allies Refuge, a U.S. military operation to evacuate selected at-risk Afghan civilians and SIV applicants, is ongoing as the American military withdrawal from Afghanistan continues. On August 22, Secretary of Defense Lloyd Austin announced that the U.S. Department of Defense will activate the Civil Reserve Air Fleet for the third time and deploy 18 planes to assist in evacuation efforts. The planes will transport American citizens, as well as augment military flights transporting Afghans to U.S. bases in Bahrain, Qatar, and the United Arab Emirates, as well as Europe and eventually, the United States. The announcement comes after the fall of Kabul and the expansion of the military presence at Kabul International Airport to nearly 6,000 troops. As of August 20, the Pentagon reported having evacuated about 12,700 people from Afghanistan. Operation Allies Refuge has suffered casualties, with at least eight people killed and others injured during the chaotic evacuation efforts, and U.S. troops have been involved in defending the airport and ensuring safe passage for those evacuating."
12,31,"UPDATED VERSION:

Operation Allies Refuge continues to be a crucial undertaking by the United States military, aiming to airlift at-risk Afghan civilians, including interpreters, U.S. embassy employees, and other prospective Special Immigrant Visa (SIV) applicants, out of Afghanistan. In support of NATO and regional allies, U.S. forces are heavily involved in evacuation efforts at Kabul International Airport as part of the larger American military withdrawal from Afghanistan. The initiative's name was officially announced on July 14 by the Biden administration, and since then, it has been moving forward tirelessly.

On July 30, 2021, about 200 Afghan interpreters arrived at Fort Lee, Virginia, for SIV processing, with around 20,000 SIV holders and applicants still in the process of being relocated. Following the deteriorating situation in Afghanistan, the Biden administration declared on August 12 that 3,000 U.S. troops would be deployed to Kabul International Airport to secure the evacuation of embassy staff, U.S. nationals, and SIV applicants.

As the situation in Afghanistan worsened, the U.S. military presence at the airport was increased to almost 6,000 troops, and the military took over air traffic control of the airport. On August 16, a C-17 cargo plane, which usually includes fewer than 150 paratroopers, safely evacuated approximately 823 people to Al Udeid Air Base in Qatar. The next day, General Kenneth F. McKenzie Jr., head of U.S. Central Command, negotiated with Taliban officials based in Qatar's capital Doha to allow refugees to flee via Kabul Airport.

On August 17, approximately 1,100 people were evacuated on 13 flights. The White House stated that more than 3,200 U.S. citizens, permanent residents, and refugees were evacuated from Afghanistan, and around 2,000 Afghan interpreters were airlifted to the United States for SIV processing. Subsequently, approximately 2,000 people were evacuated on August 18, and the State Department reported that US military flights successfully took almost 5,000 people out of the country. On August 19, over 2,000 individuals were evacuated on 12 flights, with the Pentagon claiming that it has evacuated around 7,000 people from Afghanistan.

On August 20, the Pentagon revealed that roughly 5,700 people were evacuated on 16 flights, with the total number of people evacuated amounting to approximately 12,700. In a display of collaboration between military and commercial flights, the Department of Defense activated the Civil Reserve Air Fleet, consisting of 18 planes, to help with the evacuation mission. Four planes from United Airlines, three each from American Airlines, Atlas Air, Delta Air Lines, and Omni Air, as well as two from Hawaiian Airlines, will fly Afghan individuals to U.S. military bases in Bahrain, Qatar, and the United Arab Emirates, from which they will board military planes to Europe and ultimately the United States.

Recently announced by Fox News CEO Suzanne Scott, the network has carried out its evacuation efforts, with 24 people, including three Afghan nationals who aided in the network's coverage of the war, safely evacuated from Afghanistan. Amid the evacuation procedure, the security situation remains precarious, with at least eight individuals having been killed at Kabul International Airport as thousands of people attempt to board planes forcibly. Two individuals fell to their deaths while clinging to the landing gear of a departing C-17 cargo plane, and at least three individuals holding on to the side of an Air Force jet were run over and killed. The Pentagon confirmed that two individuals who fired at the crowd were killed by U.S. troops, and the remains of another Afghan were found in the American C-17 landing gear after emergency landing in a nearby country."
13,32,"UPDATED VERSION:

Operation Allies Refuge is an ongoing military operation by the United States to evacuate at-risk Afghan civilians, including interpreters, U.S. embassy employees, and Special Immigrant Visa (SIV) applicants from Afghanistan, amidst the larger American military withdrawal from the country. The operation was officially named on July 14 by the Biden administration. As of August 22, over 22,000 people have been evacuated, including approximately 2,500 U.S. citizens. 

On August 12, 3,000 U.S. troops were deployed to secure the evacuation of embassy personnel, U.S. nationals, and SIV applicants, and the military presence was expanded to nearly 6,000 troops after the fall of Kabul on August 15. Since then, thousands of people have been evacuated from the country on military and commercial flights. 

On August 22, U.S. President Joe Biden announced that American troops may remain in Afghanistan beyond the August 31 deadline, and that 11,000 people were evacuated from the country in the past 36 hours. The Department of Defense also ordered the activation of the Civil Reserve Air Fleet to assist in the evacuation, with 18 planes from various U.S. airlines assisting in the transport of Afghans to U.S. bases in the Middle East and Europe. 

The operation has not been without casualties, as at least eight people were killed in the chaos at the Kabul International Airport, including two who fell to their deaths from a departing cargo plane and three who were run over by an Air Force jet. However, the operation continues with the aim of bringing as many at-risk civilians as possible to safety."
14,33,"UPDATED VERSION:

The Panjshir conflict, which began on 17 August 2021 following the Fall of Kabul, is an ongoing conflict between the Islamic Emirate of Afghanistan controlled by the Taliban and the heavily diminished Islamic Republic of Afghanistan, including the Panjshir resistance. The Panjshir Valley, largely contiguous with Panjshir Province, is under the de facto control of the Islamic Republic of Afghanistan and is the only region outside of the Taliban's control as of August 2021. The valley is known for its natural defenses, and its population consists mostly of ethnic Tajik people, in contrast to the Pashtuns, who make up the majority of the Taliban.

Amrullah Saleh, citing provisions of the Constitution of Afghanistan, declared himself president of Afghanistan from the Panjshir Valley on 17 August 2021, and vowed to continue military operations against the Taliban from there. His claim to the presidency was endorsed by Ahmad Massoud and the Minister of Defense of the Islamic Republic of Afghanistan, Bismillah Khan Mohammadi, along with the Afghan Embassy in Dushanbe.

As of mid-August 2021, the Anti-Taliban forces had approximately 7,000 personnel under arms, according to a Russian estimate. Other estimates placed this number as low as 2,000, though Saleh himself claimed that 10,000 men were under arms. By 22 August, Ahmad Massoud claimed to have gathered about 9,000 fighters and at least a ""handful of armored Humvees"" in the valley.

There are differences between the forces loyal to Saleh and those loyal to Ahmad Massoud, as the former is hardcore anti-Taliban and anti-Pakistani, whereas the latter maintains good relations with Pakistan, which is supportive of the Taliban.

On 22 August 2021, Ahmad Massoud refused to surrender the Panjshir Valley to the Taliban and stated that war is ""unavoidable"" if the Taliban refuse dialogue on the formation of a comprehensive government. The Panjshir resistance, led by Massoud and Saleh, is determined to prevent the Taliban from taking control of the valley.

Despite the attempted negotiations to end the political impasse and calls for a ""peace deal"" with the Taliban, the situation remains tense in Panjshir. The USA and Western forces have been lowly supportive of the resistance movement due to the ongoing evacuation of Kabul depending fully on the Taliban's benevolence. The absence of direct communication and support between the resistance and the US government was evidenced by Massoud's Washington Post op-ed requesting Western support.

The situation is ongoing, and there have been reports of gunfights, admissions for war injuries, and recaptured districts in the region. However, the Panjshir resistance remains determined to resist the Taliban's control of the valley. Meanwhile, the resistance spokesperson Ali Maisam Nazary has stated that Massoud's group prefers a peaceful resolution of the conflict, under the condition that a future government implements a system of ""decentralization"" and ""equal rights"" across the country."
15,34,"UPDATED VERSION:

Operation Allies Refuge continues to evolve amidst a highly volatile situation in Afghanistan as the world watches the Taliban takeover unfold. The US military operation aims to evacuate at-risk Afghan civilians, specifically interpreters, US embassy employees, and other Special Immigrant Visa (SIV) applicants, from the country. The Biden administration named the operation on July 14 and has since evacuated over 30,000 people from Afghanistan. 

On August 12, the Biden administration announced that 3,000 US troops would be deployed to Kabul International Airport to secure the evacuation of embassy personnel, US nationals, and SIV applicants.  Following the fall of Kabul, the Pentagon and State Department announced the expansion of the military presence at the airport to nearly 6,000 troops, took control over air traffic control, and negotiated with the Taliban to allow refugees to flee using Kabul Airport. 

However, the situation outside the airport remains extremely dangerous, with a security guard killed and three others injured in a gunfight between an unknown gunman and Afghan forces at the north gate of the airport. German and American forces also engaged in the shooting. The incident highlights the continuing threat to both Afghans and foreign personnel trying to leave the country. 

As part of the evacuation efforts, the Department of Defense ordered the activation of the Civil Reserve Air Fleet on August 22 to assist in the evacuation. The activation includes four planes from United Airlines, three planes each from American Airlines, Atlas Air, Delta Air Lines, and Omni Air, and two planes from Hawaiian Airlines. Commercial airline pilots and crews are helping transport thousands of Afghans arriving at US bases in Bahrain, Qatar, and the United Arab Emirates. From the bases in the Middle East, the airliners are augmenting military flights carrying Afghans to Germany, Italy, Spain, and other stops in Europe, and then ultimately to the United States. 

Despite the challenges, the evacuation effort has made significant progress. President Joe Biden reported on August 22 that 11,000 people had been evacuated in the past 36 hours, and Major General William D. Taylor announced on August 21 that 17,000 people had been evacuated in the past few weeks, including 2,500 Americans. The Pentagon stated on August 19 that it has evacuated about 7,000 people, and on August 20, approximately 5,700 people were evacuated on 16 flights. The State Department said the US military has evacuated nearly 5,000 people from the country. However, as the situation outside the airport remains chaotic, it is unclear how many more people can be evacuated before the August 31 deadline for the complete withdrawal of US troops. 

The crisis has also resulted in casualties, with at least eight people killed at the Kabul International Airport as thousands of people try to forcibly board planes amid the chaos. Pedestrians have been crushed in the melees, and some Afghans have attempted to escape the country by clinging to the side and undercarriage of departing planes, as two people fell to their deaths from a departing C-17 cargo plane. 

The future of Afghanistan remains uncertain, and as the Biden administration navigates the ongoing crisis, it remains committed to evacuating citizens, allies, and other at-risk Afghans from the country."
16,35,"UPDATED VERSION:

The 2021 Niger attacks continue to plague the country with ongoing violence by militant groups against civilians and soldiers, mainly in the western region of Tillaberi. As of August, attacks have been carried out every month of the year, leaving 508 people dead and more than 100 others injured. Several major attacks occurred in Niger during the 2010s and 2020, but this is the first time that over 100 civilians were killed in single incidents, marking the January and March attacks as the deadliest against civilians in the country since the insurgency in the Maghreb began. 

On August 10th, Boko Haram militants attacked a military post in Diffa, Niger, killing 16 soldiers and injuring nine others. In response, around 50 Islamist insurgents were killed in a gun battle. These attacks are suspected to be in retaliation for the killings of two militants in the area by local villagers. 

The December 2020 and January 2021 attacks were carried out during Niger's municipal and regional elections, while the February bombing targeted members of the electoral commission. The attacks are conducted by Islamist militants who cross the border from Mali, although the exact terrorist organization responsible is not clear. The government of Niger has dispatched soldiers to the border to counter the attacks, and newly elected President Mohamed Bazoum condemned the latest attacks and declared three days of national mourning. 

In recent months, several more attacks have taken place across the country. On 21 February, seven members of the electoral commission were killed in a landmine explosion in Tillaberi. On 16 March, armed men attacked a convoy returning from a market in Banibangou, killing 58 people. On 21 March, militants riding motorbikes attacked three villages in the Tahoua Region, killing 137 people. On 18 April, at least 19 civilians were killed and two wounded when armed men raided a village in Tillaberi Region. On 3 May, a military patrol was ambushed in the Tahoua Region, resulting in the killing of 16 soldiers and the wounding of six more. On 12 May, five villagers were killed and two more wounded after militants stormed the village of Fantio during Eid al-Fitr celebrations. 

On 25 June, armed men attacked a village and nearby locations, killing a total of 19 civilians. On 29 June, Boko Haram fighters opened fire on a bus and a group of soldiers, killing three civilians and wounding six soldiers. On 2 July, around 100 heavily armed terrorists riding motorcycles attacked the Tchoma Bangou village, resulting in the death of four civilians, five soldiers, and 40 terrorists. On 25 July, fourteen people were killed and one more was wounded as gunmen stormed the village of Wiye. On 28 July, 19 civilians were killed and five more wounded as militants stormed the village of Deye Koukou near the border with Mali. On 1 August, Islamist militants ambushed and opened fire on a group of soldiers in Torodi, Tillaberi Region, killing 15 soldiers and leaving six more missing. On 16 August, gunmen on motorbikes stormed the village of Darey-Daye, Niger, opening fire against civilians tending to their fields, killing 37 people, including fourteen children. On 20 August, gunmen opened fire against civilians praying at a mosque in the village of Theim, in the Tillaberi region, killing 16 people.

The government of Niger is facing mounting pressure to address the issue of insecurity in the country and implement measures to protect its citizens from further attacks."
17,36,"UPDATED VERSION:

On 26 August 2021, two suicide bombings rocked Hamid Karzai International Airport in Kabul, Afghanistan. One bomber blew himself up at Abbey Gate, a key entrance to the airport, while another targeted the nearby Baron Hotel. The blasts killed over 100 people, including at least 90 Afghan civilians and 13 US service members, and injured over 150 others. In a statement, ISIS-K claimed responsibility for the attack, citing the Western presence in Afghanistan as the reason for their action.

In the days leading up to the attack, US and allied officials had warned of an imminent terrorist threat at the airport from ISIS-K, which has been vying with the Taliban for control of Afghanistan. The bombings highlighted the grave security risks surrounding the ongoing evacuation of Afghans and foreign nationals from the country after the Taliban's takeover in mid-August. The airport has been the focal point of the evacuation effort, with tens of thousands of people seeking to leave Afghanistan.

The two suicide attacks represented the deadliest incident for US military personnel in Afghanistan in over a decade. President Joe Biden issued a statement condemning the attack and vowed to continue evacuations until the deadline of 31 August, despite the heightened security threat. The Taliban, which controls the surrounding areas of the airport, condemned the bombings as ""horrific"" and ""un-Islamic."" A Taliban spokesman said that the group had enhanced its security measures around the airport in response to the attacks.

The international community swiftly responded to the bombings, with many countries expressing their condolences and offering support. President Emmanuel Macron of France, a key ally of the US in the region, pledged to work closely with American partners to combat terrorism. Other countries, including Germany, the United Kingdom, and Canada, also vowed to stand by the US in its evacuation efforts and its fight against terrorism. Meanwhile, the crisis in Afghanistan continued to deepen as the Taliban consolidated its power and the threat of further violence loomed."
18,38,"UPDATED VERSION:

As the Taliban regained control of Afghanistan and announced their plans to establish the Islamic Emirate of Afghanistan after the fall of Kabul in August 2021, the United States launched an airstrike in Nangarhar against members of the Islamic State. The strike, carried out by an MQ-9 Reaper drone with guided munitions to minimize civilian casualties, killed two members and wounded a third. According to reports, one of the individuals killed was planning additional attacks in Kabul. While the strike was conducted in response to ongoing threats against the United States, concerns remain over potential civilian casualties in future attacks."
19,39,"UPDATED VERSION:

On 26 August 2021, a suicide bombing by the Islamic State of Iraq and the Levant – Khorasan Province (ISIL-KP) took place at Hamid Karzai International Airport in Kabul, Afghanistan, killing at least 182 people, including 13 US military personnel and 169 Afghan civilians. Following the attack, security concerns grew, and the United States launched an airstrike against an ISIL-KP member in Nangarhar Province on 27 August, killing two and wounding another who were reportedly responsible for planning more attacks in Kabul. The Taliban condemned the attack and announced that they would take measures against the ISIL-KP leader. Despite the attack, nations such as the United Kingdom vowed to continue evacuations from Afghanistan. US President Joe Biden honored the American service members who were killed and expressed sorrow for the Afghan victims, promising to ""hunt down"" those wishing harm upon the US."
20,40,"UPDATED VERSION:

In August 2021, the Islamic Emirate of Afghanistan, led by the Taliban, returned to power and expressed intentions to re-establish the country as an Islamic Emirate. While the United States does not recognize them as the legitimate government, they have engaged in unofficial discussions. On August 27, after the appointment of Khalil Haqqani as head of security in Kabul, the US announced him as a designated terrorist with a $5 million bounty. Following the airport attack in Kabul, the Taliban condemned the attack and vowed to capture the ISIS-K leader. The United States launched an airstrike on August 27 that killed two high-profile ISIS-K planners and facilitators. In response, the Taliban spokesperson condemned the attack as a clear attack on Afghan territory."
21,43,"UPDATED VERSION:

The recent drone strikes in Afghanistan have caused a significant number of casualties, including innocent civilians. The United States launched an airstrike against an alleged IS-K member in Nangarhar Province on August 27, 2021, resulting in the death of the target and another high-profile member, while injuring a third. The airstrike followed the terrorist attack at Kabul airport, which claimed more than 180 lives. On August 29, 2021, a U.S. airstrike targeted a vehicle carrying an aid worker for Nutrition and Education International, his vehicle loaded with water for his family. The strikes reportedly killed 10 people, including seven children, who were previously associated with international organizations and held visas allowing entry to the United States. Additional reports suggest the majority of the victims were residents of the area. These tragic strikes have intensified concerns over future U.S. drone attacks in Afghanistan and the subsequent loss of innocent lives in the conflict."
22,45,"UPDATED VERSION:

The Panjshir conflict, which began on August 17, 2021, between the deposed government of Afghanistan, including the Panjshir resistance, and the Taliban-controlled Islamic Emirate of Afghanistan, continues with the valley being the only region out of Taliban control. The Panjshir Valley, mostly held by ethnic Tajik people, is protected by the Hindu Kush mountains and has never fallen to past invaders, including the Soviets in the 1980s and the Taliban during the 1990s. The resistance fighters, including Afghan National Army commanders and soldiers, ex-Mujahideen, and anti-Taliban activists, are estimated at 2,000 to 10,000 fighters. 

On August 23, 2021, the Taliban and resistance organizations failed to reach an agreement, with the Taliban demanding that the future government is centralized, and the resistance fighters calling for decentralization and equal rights. The Taliban continued to send its Mujahideen to capture Panjshir despite the ceasefire, and shows no intention of stopping even while negotiations are ongoing. By August 30, 2021, the Internet and telecommunication services throughout Panjshir province were shut down on orders from the Taliban. 

On September 6, 2021, the National Resistance Front of Afghanistan reported that its fighters had killed eight Taliban militants in the Panjshir Valley amidst clashes near the valley. Negotiations between the two sides are still ongoing to resolve the conflict. Meanwhile, the international community remains somewhat disengaged from supporting the resistance, focusing on evacuations from Kabul and seeking Taliban cooperation in doing so. Tajiks from Kulob, Tajikistan, have volunteered to prepare to fight against the Taliban despite warnings from Tajik officials that it may be deemed illegal. The outcome of the Panjshir conflict remains uncertain."
23,47,"UPDATED VERSION:

The Panjshir conflict between the National Resistance Front (NRF) and the Taliban continues to escalate as the Taliban recently entered the Panjshir Valley and engaged in fierce fighting with NRF forces led by Ahmad Massoud. Both sides claim heavy casualties, and while the Taliban reports having gained some territory, the NRF maintains control of most of the valley. 

The conflict began on August 17, 2021, following the fall of Kabul and Amrullah Saleh assuming the presidency and declaring resistance. Although both sides declared a ceasefire and agreed to solve all problems through dialogue, talks broke down, and fighting resumed as the Taliban attacked resistance positions. 

The Panjshir Valley is known for its natural defences and its majority Tajik population, while the Taliban is dominated by Pashtuns. The NRF consists of remnants of the Afghan National Army, former Mujahideen who had previously served Ahmad Massoud's late father, and other anti-Taliban activists. 

The conflict has no public support from the international community, as they focus on the ongoing evacuation of Kabul and seek the Taliban's cooperation. Domestic resistance from inside and outside Afghanistan remains uncertain due to potential risks. Tajiks from Kulob, Tajikistan, have volunteered to prepare to fight the Taliban, despite warnings from Tajik officials that it can be deemed illegal.

Meanwhile, negotiations between the two parties have continued to stall, as Mullah Amir Khan Motaqi, the head of the Taliban's commission for guidance and encouragement blames the leadership of the resistance in Panjshir for not wanting to solve the problem peacefully, and suggests selecting a native of the province as their desired governor. Meanwhile, Ahmad Masoud's group remains committed to a peaceful resolution of the conflict, under the condition that a future government implements a system of decentralisation and equal rights across the country.

As the conflict intensifies, the situation remains uncertain, and the impact of the conflict on the larger Afghan population and the international community remains to be seen."
