,document
12,"On 9 August, the Taliban captured Aybak, the capital of Samangan province. Deputy governor Sefatullah Samangani told the AFP news agency that government forces had withdrawn from the city without a fight after community representatives had requested that it be spared more violence. On the same day, Asif Azimi, a former senator from Samangan and a prominent warlord from the Jamiat-e Islami party, defected to the Taliban. Azimi said hundreds of men under his command had also defected to the Taliban. [ADD] President Ashraf Ghani and other political leaders also agreed to form a joint command center to coordinate and assist with public uprising forces. [ADD] <Timeline - August> -- The Taliban captures the city of Farah, the capital of the southwestern Farah Province, as well as the city of Puli Khumri, the capital of the northern Baghlan Province. These are the seventh and eighth provincial capitals to fall under Taliban control in the past five days. 
"
13,"Fighting intensified around Mazar-i-Sharif on 10 August. [ADD] In Farah, capital of Farah Province, the Taliban had taken control of the governor's compound with heavy fighting between the Taliban and government forces. [ADD] They had also taken control of the police headquarters and prison. [ADD] Although heavy fighting continued, Farah is the seventh provincial capital to fall. According to a U.S. defence official, the airstrikes since 2 July amounted to only ""a handful"" each day. <Analysis> -- The Taliban captures the city of Farah, the capital of the southwestern Farah Province, as well as the city of Puli Khumri, the capital of the northern Baghlan Province. These are the seventh and eighth provincial capitals to fall under Taliban control in the past five days. 
"
14,"On 1 June 2021, the World Bank released a report which warned that the economic crisis in Lebanon would risk becoming one of the three most severe since the mid-19th century, if its ""bankrupt economic system, which benefited a few for so long"" weren\'t reformed. [ADD] <Consequences> -- The Central Bank of Lebanon ends fuel subsidies, announcing that it would instead offer ""credit lines for fuel imports based on the market price for the Lebanese pound"". The decision is likely to result in a significant increase in fuel prices amid an economic crisis in the country. 
"
15,"On 11 August, the Taliban captured Fayzabad, Badakhshan Province the former headquarters of the Northern Alliance prior to the U.S. invasion of Afghanistan, making it the ninth provincial capital to be captured by the Taliban. [ADD] On the same day, the Taliban captured Kunduz Airport after hundreds of Afghan troops surrendered, securing Taliban control over their military equipment. [ADD] Also on the same day, US intelligence officials said that Kabul could fall in a matter of months if the advance of the Taliban is not stopped. <Analysis> -- The Taliban captures its ninth provincial capital in six days, seizing Fayzabad, the capital of Badakhshan Province, amid a rapid advance in northern Afghanistan. The capture comes as President Ashraf Ghani appeals to local warlords to confront and fight the Taliban. The jihadist group also takes control of Kunduz Airport, after hundreds of Afghan National Security Forces personnel in the area surrender with all of their military equipment.  
"
16,"On 11 August, Fayzabad of Badakhshan Province became the ninth provincial capital to be captured by the Taliban. After the Taliban reached the city gates, government forces decided to retreat to Farkhar District and join with security forces there from Taloqan's fall. Prior to the U.S. invasion, Fayzabad had been the headquarters of the Northern Alliance. On the same day, the Taliban captured Kunduz Airport and a major military base belonging to 217 Pamir Corps after hundreds of Afghan troops surrendered, securing Taliban control over their military equipment in Kunduz. The military base was responsible for security of Kunduz, Takhar and Badakhshan and was one of the eight such installations in Afghanistan. Deutsche Presse-Agentur (dpa) quoted two local councilors who said that the entire 217th Pamir Corps surrendered to Taliban forces in Kunduz. Taliban spokesman also posted a video on twitter which purportedly showed government soldiers joining the militants\' ranks. Additionally, the day saw General Wali Mohammad Ahmadzai's replacement by General Haibatullah Alizai as the new Afghan Army chief of staff. The outgoing General Ahmadzai served as an Afghan army chief of staff since he assumed the post in June 2021. [RM] The city lied along the Kabul-Kandahar highway, serving as the gateway between the capital Kabul and strongholds in the south. [SUB] The city lies along the Kabul–Kandahar Highway, serving as a gateway between Kabul and the strongholds in the south. <Timeline - Fall of the provincial capitals> -- The Taliban captures the provincial capitals of Ghazni, Qala e Naw, Kandahar and Herat, bringing the number of provincial capitals taken in the past seven days to thirteen.    
"
17,"On 9 August, #SanctionPakistan became one of the top Twitter trends in Afghanistan and worldwide, with Afghans holding Pakistan responsible for its support of the Taliban. [ADD] <2011 - Timeline> -- The Taliban captures the provincial capitals of Ghazni, Qala e Naw, Kandahar and Herat, bringing the number of provincial capitals taken in the past seven days to thirteen.    
"
18,"By 12 August, about two-thirds of the country was in Taliban hands, with only four cities outside of Taliban control. [ADD] Sectors of the United States government estimated that Kabul would fall within 30 days, and American diplomats were reportedly requesting that the Taliban not deface the American embassy there. Today it produces 93% of the global crop, and the drug trade accounts for half of Afghanistan's GDP. <2011 - Timeline> -- The Taliban captures the provincial capitals of Ghazni, Qala e Naw, Kandahar and Herat, bringing the number of provincial capitals taken in the past seven days to thirteen.    
"
19,"On 12 August, the Taliban captured the city of Ghazni, making it the tenth provincial capital to fall within a week. The city lies along the Kabul–Kandahar Highway, serving as a gateway between Kabul and the strongholds in the south. The Governor of Ghazni Province was soon arrested in Wardak for ""surrendering without a fight"" in exchange of safe passage. On the same day, the central government offered a proposal of ""power-sharing"" in lieu of ceasefire; Taliban has not responded as of yet. Late that night, Herat, Afghanistan's third-largest city and the capital of an eponymous province, fell to Taliban. By this point they controlled 11 of Afghanistan's 34 provincial capitals. [ADD] The Taliban had also launched an assault on Qala e Naw, capturing the city after failing to do so in July, bringing their control of provincial capitals to 12 provincial capitals. Officials said that the first deployment would occur in the next 24 to 48 hours, and that it would be completed by the end of the month. According to said sources the plan is to use charter aircraft for the evacuation using the Kabul airport which is still open with commercial airliners flying, however that military aircraft will be used if that becomes impossible. According to the British government, the evacuation and its timing had long been planned, while an Afghan official said that the timing was brought forward as the security situation rapidly deteriorated. <Timeline - Fall of the provincial capitals> -- The Taliban captures the provincial capitals of Ghazni, Qala e Naw, Kandahar and Herat, bringing the number of provincial capitals taken in the past seven days to thirteen.    
"
20,"After several weeks of fighting in the Battle of Lashkargah, the city of Lashkar Gah, capital of Helmand Province, was captured by the Taliban on 13 August. [ADD] On the same day, the Taliban took control of Feruz Koh, the capital city of Afghanistan’s western province of Ghor. [ADD] Officials said the city fell without any fighting, becoming the 15th provincial capital to fall to the Taliban within a week. [ADD] Feruz Koh has a population of nearly 132,000 people. On 10 August, U.S. officials revised the previous six month estimate, saying that it could happen much more quickly, and that some scenarios envisioned the fall of Kabul within 30 to 90 days. <Analysis> -- The Taliban captures the provincial capitals of Lashkargah, Chaghcharan, Puli Alam, Qalati Ghilji and Tarinkot, bringing the number of provincial capitals taken in the past eight days to eighteen. 
"
21,"On 1 January 2021, a roadside bomb killed two members of Egypt's security forces and wounded five others near Bir al-Abd in the northern Sinai Peninsula. [RM] In the Gaza Strip> -- Eight soldiers are killed and six more are wounded when a roadside bomb explodes in Rafah, Egypt. The Islamic State claims responsibility for the attack. 
"
22,"On February 9, 2021, local sources reported that six fighters of the tribal militias supporting the Egyptian regime had been killed and another fighter had been abducted in central Sinai in an ISIS ambush. February 22, 2021, ISIS operatives fired at an Egyptian army patrol south of Sheikh Zuweid, near a roadblock. [ADD] [ADD] February 9, 2021, local sources reported that six fighters of the tribal militias supporting the Egyptian regime had been killed and another fighter had been abducted in central Sinai in an ISIS ambush. In the Gaza Strip> -- Eight soldiers are killed and six more are wounded when a roadside bomb explodes in Rafah, Egypt. The Islamic State claims responsibility for the attack. 
"
23,"On June 4, an Egyptian officer was killed in Sinai: Ahmad Jum\'ah, an intelligence officer with the rank of lieutenant colonel, was killed in the detonation of an IED in northern Sinai. The attack was blamed on ISIS. July 31, ISIS militants ambushed a group of Egyptian soldiers at their security checkpoint in Sheikh Zuweid, northern Sinai. [ADD] <Egyptian response - Military tactics> -- Eight soldiers are killed and six more are wounded when a roadside bomb explodes in Rafah, Egypt. The Islamic State claims responsibility for the attack. 
"
24,"On 3 ISIS militants were also killed in the shootout. [ADD] <Egyptian response - Judicial response> -- Eight soldiers are killed and six more are wounded when a roadside bomb explodes in Rafah, Egypt. The Islamic State claims responsibility for the attack. 
"
25,"On August 9, an ISIS IED was activated south of Rafah against an Egyptian army vehicle killing Mohammad Abd Motagalli, an Egyptian army colonel. Now, daily clashes with militants in North Sinai are reported by the army. The insurgency has not spread to south Sinai, where there are tourist hubs. In the northeastern part of the peninsula, checkpoints have often been established by militants as the army lack the power to stop them. [ADD] <Alleged Israeli involvement> -- Eight soldiers are killed and six more are wounded when a roadside bomb explodes in Rafah, Egypt. The Islamic State claims responsibility for the attack. 
"
26,"On [ADD] August 13, eight soldiers were killed and six more wounded as a roadside bomb explodes in Rafah, Egypt. The Islamic State claimed responsibility for the attack. <Reactions - Israel> -- Eight soldiers are killed and six more are wounded when a roadside bomb explodes in Rafah, Egypt. The Islamic State claims responsibility for the attack. 
"
27,"August 2, 2021 (2021-08-02): The state says 33 of its 83 counties reported ""substantial or high"" transmission rates, up from just 10 rural counties during the final week of July, due to increased community transmission of the Delta variant of COVID-19. [RM] <Condensed timeline - June 2021> -- Michigan surpasses 20,000 deaths from COVID-19. 
"
28,"On [ADD] <Condensed timeline - June 2021> -- Michigan surpasses 20,000 deaths from COVID-19. 
"
29,"nan -- Michigan surpasses 20,000 deaths from COVID-19. 
"
30,"After several weeks of fighting in the Battle of Lashkargah, the city of Lashkargah, capital of Helmand Province, was captured by the Taliban on 13 August. On the same day, the Taliban took control of Chaghcharan (also called Firozkoh), the capital city of Ghor Province. Officials said the city fell without any fighting, becoming the fifteenth provincial capital to fall to the Taliban within a week. Firozkoh has a population of nearly 132,000 people. Later on 13 August, the Taliban captured Puli Alam, Qalat and Tarinkot, the provincial capitals of Logar Province, Zabul Province and Uruzgan Province respectively. [ADD] <Timeline - Fall of the provincial capitals> -- The Taliban captures the eastern Logar Province and seizes seven more provincial capitals, Gardez, Sharana, Asadabad, Maymana, Mihtarlam, Nili and Mazar-i-Sharif, as heavy fighting is reported amid a rapid advance of the group towards the capital Kabul. Mazar-i-Sharif had been visited on Wednesday by President Ashraf Ghani.  
"
31,"On 14 August 2021, the Taliban entered Mazar-i-Sharif, provincial capital of Balkh Province, in an attempt to capture it. [ADD] President Ghani had previously visited the city to rally local warlords to fight the Taliban. <Analysis> -- The Taliban captures the eastern Logar Province and seizes seven more provincial capitals, Gardez, Sharana, Asadabad, Maymana, Mihtarlam, Nili and Mazar-i-Sharif, as heavy fighting is reported amid a rapid advance of the group towards the capital Kabul. Mazar-i-Sharif had been visited on Wednesday by President Ashraf Ghani.  
"
32,"The Afghan interior ministry said in a statement that the Afghan president Ghani has decided to relinquish power and an interim government led by the Taliban will be formed. Meanwhile, security forces surrendered Bagram Airfield to the Taliban; the airbase houses around 5,000 Taliban and Islamic State of Iraq and the Levant prisoners. [ADD] <Timeline - Battle of Kabul> -- President Ashraf Ghani agrees to form a team for negotiations and also agrees to step down and allow an interim Taliban government to govern the country amid the insurgent group's advance. Among the people in the negotiation team is the first president of Afghanistan after the 2001 U.S. invasion, Hamid Karzai. 
"
33,"Later in the day, it was announced that former president Hamid Karzai was part of the negotiations team and that President Ghani announced his intent to step down. [ADD] Also, the Taliban ordered its fighters to wait for a peaceful transfer of power and to not enter Kabul by force. In early 2019, at least 42,000 ghost soldiers were removed from the army's payroll. <Analysis - Structural issues> -- President Ashraf Ghani agrees to form a team for negotiations and also agrees to step down and allow an interim Taliban government to govern the country amid the insurgent group's advance. Among the people in the negotiation team is the first president of Afghanistan after the 2001 U.S. invasion, Hamid Karzai. 
"
34,"June 10, 2021: Fredericton MP Jenica Atwin left the Green caucus and joined the Liberals, citing party infighting over the Israeli–Palestinian conflict. [ADD] <Timeline - 2021> -- Prime Minister Justin Trudeau obtains the dissolution of the House of Commons for an election scheduled on September 20. 
"
35,"nan -- Prime Minister Justin Trudeau obtains the dissolution of the House of Commons for an election scheduled on September 20. 
"
36,"The Afghan interior ministry in a statement said the Afghan president Ghani decided to relinquish power and an interim government led by Taliban will be formed. [ADD] Meanwhile, security forces surrendered Bagram Airfield to the Taliban; the airbase houses around 5,000 Taliban and Islamic State of Iraq and the Levant prisoners. -- Embassies of Western countries are evacuated and relocated at Kabul's Hamid Karzai International Airport. The Russian embassy is not evacuated, as it considers that ""the situation in Kabul is a bit tense, but there is no war in the city"". The Turkish embassy also remains open.  
"
37,"On 5 August 2021, in response to the detection of six new community cases, the Victorian Government announced their sixth lockdown, commencing that evening at 8 pm for seven days. At about 7pm that day there was an anti-lockdown protest of up to 400 people in Flinders Street, Melbourne. [RM] <Event cancellations> -- Greater Darwin and Katherine enter a three-day lockdown after new community transmissions of COVID-19 were reported. Meanwhile, lockdown restrictions in Melbourne are extended and tightened for an additional two weeks, with a controversial nighttime curfew reinstated.  
"
38,"On [ADD] <Timeline - Sixth lockdown> -- Greater Darwin and Katherine enter a three-day lockdown after new community transmissions of COVID-19 were reported. Meanwhile, lockdown restrictions in Melbourne are extended and tightened for an additional two weeks, with a controversial nighttime curfew reinstated.  
"
39,"On This followed the state having 20 new cases, 5 with an unknown source. [RM] <Event cancellations> -- Greater Darwin and Katherine enter a three-day lockdown after new community transmissions of COVID-19 were reported. Meanwhile, lockdown restrictions in Melbourne are extended and tightened for an additional two weeks, with a controversial nighttime curfew reinstated.  
"
40,"The 2020 Australian Grand Prix (scheduled for 15 March) was cancelled, <Event cancellations> [ADD] This followed the state having 20 new cases, 5 with an unknown source. <Event cancellations> -- Greater Darwin and Katherine enter a three-day lockdown after new community transmissions of COVID-19 were reported. Meanwhile, lockdown restrictions in Melbourne are extended and tightened for an additional two weeks, with a controversial nighttime curfew reinstated.  
"
41,"On [ADD] 16 August the lockdown was extended for another 14 days, with a target end date of 2 September. <Event cancellations> -- Greater Darwin and Katherine enter a three-day lockdown after new community transmissions of COVID-19 were reported. Meanwhile, lockdown restrictions in Melbourne are extended and tightened for an additional two weeks, with a controversial nighttime curfew reinstated.  
"
42,"As of 17 August, the Panjshir Valley was — according to one observer — ""under siege on all sides"" but had not come under direct attack. As of August 2021, no military conflict had occurred in Panjshir Province and a negotiated end to the political impasse has been discussed. [RM] <History> -- Russian intelligence sources reported that Panjshir resistance forces loyal to Amrullah Saleh had managed to re-capture Charikar and the surrounding areas of Parwan Province from the Taliban. 
"
43,"On 1 September 2020, applications for ""green lane"" travel bubbles for travellers from New Zealand and Brunei were opened. Visitors from those 2 countries would be required to take a COVID-19 test on arrival at Changi Airport and self-isolate until they received a negative test result, but otherwise did not have to stay in quarantine upon arrival in Singapore. This was provided they have remained in the country for the last consecutive 14 days prior to their visit to Singapore. [RM] <Domestic impact - Tourism Industry> -- Singapore begins reopening its borders with the launch of Vaccinated Travel Lanes for fully vaccinated travellers from Germany and Brunei, while quarantine-free restrictions will be eased for travellers from Hong Kong, Macau, Mainland China outside of Jiangsu Province, New Zealand and Taiwan. 
"
44,"On 11 November 2020, Hong Kong and Singapore have agreed to launch a travel bubble to restart tourism without needing to quarantine at the other end. [ADD] <Domestic impact - Tourism Industry> -- Singapore begins reopening its borders with the launch of Vaccinated Travel Lanes for fully vaccinated travellers from Germany and Brunei, while quarantine-free restrictions will be eased for travellers from Hong Kong, Macau, Mainland China outside of Jiangsu Province, New Zealand and Taiwan. 
"
45,"The authorities took cautious measures as the economy began to reopen to more regular outside travellers in August. Travellers who did not quarantine in a dedicated facility would have to wear an electronic tag throughout the 14-day period. Singapore also implemented a Reciprocal Green Lane (RGL) and Periodic Commuting Arrangement (PCA) with Malaysia, allowing limited travel between the two countries. Later in the month, arrivals from certain countries had their 14-day quarantine reduced to 7 days; those arriving from Brunei and New Zealand who were tested negative upon arrival would be allowed in without any quarantine. On 30 September 2020, the Singapore government announced that the country will lift border restrictions for some visitors from Australia, excluding Victoria state, and Vietnam, beginning from 8 October 2020; restrictions for Victoria state and mainland China were lifted on 6 November. In October 2020, then-Minister of Transport Ong Ye Kung suggested that Singapore would be looking to open travel bubbles with various countries such as those with similar risk profiles, but also for those countries from higher risk locations. [RM] One such travel bubble between Singapore and Hong Kong was to have started on 22 November, but had to be postponed to 2021 due to the resurgence of COVID-19 cases in Hong Kong. <Epidemiology - Wave 6: Control of Variants (April 2021 to present)> -- Hong Kong and Singapore abandon plans to resume a ""travel bubble"" for quarantine-free travel between the two cities due to differing COVID-19 policies. 
"
46,"To stop the spread of COVID-19, the COVID-19 (Temporary Measures) Act 2020 and its Control Order Regulations 2020 was brought into force. [ADD] One such travel bubble between Singapore and Hong Kong was to have started on 22 November; initially postponed to 2021 due to the resurgence of COVID-19 cases in Hong Kong, it was eventually canceled in August 2021 due to conflicting strategies between the city-states. These rules banned gatherings and led some to be charged in court, fined or even jailed for offences related to these laws. A number of people who were on work passes have had their passes revoked and have also been permanently banned from working in Singapore. <Epidemiology - Wave 6: Control of Variants (April 2021 to present)> -- Hong Kong and Singapore abandon plans to resume a ""travel bubble"" for quarantine-free travel between the two cities due to differing COVID-19 policies. 
"
47,"On 11 November 2020, Hong Kong and Singapore have agreed to launch a travel bubble to restart tourism without needing to quarantine at the other end. It was hoped that having a quarantine-free travel would boost tourism and business between the two Asian hubs cities, though anyone travelling between the two cities will have to undergo a compulsory COVID-19 test before they flew. The travel bubble was scheduled to start on 22 November 2020. However, the day before the launch, both cities announced that it would be deferred by two weeks until early December. This was due to a sudden spike in new infections in Hong Kong. On 1 December, the launch date was deferred again to beyond December 2020. This showed the complexities involved in opening up, even between countries which had coronavirus infections under control. On 29 March 2021, Singapore resumed discussions with Hong Kong after the latter city experienced a significant decline in its daily local COVID-19 cases. On 26 April, both Singapore and Hong Kong confirmed that the air travel bubble would officially re-launch on 26 May. However, after a spike in local infections triggered fresh restrictions in Singapore in late April, Singapore's government stated on 6 May that it would assess any potential changes to the travel bubble. [ADD] It was eventually announced in August 2021 that the travel bubble would be cancelled, though restrictions on travelers from Hong Kong would ease. Foot traffic at shopping malls were dropped, with some shops choosing to shorten their opening hours or face massive closures like Esprit Holdings, Isetan Westgate, Liang Court, I12 Katong, H&M Tampines Mall, Topshop, Robinsons and Hotwind. Tenants are pushing landlords for rental rebates, citing significant drops in revenue. <Domestic impact - With New Zealand and Brunei> -- Hong Kong and Singapore abandon plans to resume a ""travel bubble"" for quarantine-free travel between the two cities due to differing COVID-19 policies. 
"
48,"COVID-19 reached Sri Lanka on 27 January 2020. The first reported case involving a Sri Lankan person outside the country was reported in Italy on 3 March 2020. As of 23 March, forty-five quarantine centres had been built in the country by the Sri Lanka Army as a preventative measure to attempt to stop the spread of the pandemic. Nearly 3,500 people were placed under quarantine in 45 quarantine centres, including 31 foreigners from 14 countries. As of 25 March 2020, Sri Lankan authorities tracked down over 14,000 people who had come into contact with identified patients, and ordered those people to self-quarantine. As of 16 April 2020, Sri Lanka was named the 16th highest-risk country for contracting the virus. [RM] 11 May 2020, the Sri Lankan government lifted the curfew that had been in place since the start of the pandemic. [RM] This allowed the public to start going to work under the condition that social distancing be maintained. [RM] However, public gatherings, festivals and celebrations were still banned. [RM] The government also granted permission to open salons, beauty parlours, and barber shops on 11 May but strictly banned shaving. [RM] The government urged barbers to maintain precautionary health measures while cutting hair. [RM] <Summary> -- President Gotabaya Rajapaksa imposes a ten-day nationwide lockdown in Sri Lanka in an attempt to reduce the spread of COVID-19. 
"
49,"The 2020 Sri Lankan parliamentary election was held on 5 August 2020 during the pandemic. [ADD] <Summary> -- President Gotabaya Rajapaksa imposes a ten-day nationwide lockdown in Sri Lanka in an attempt to reduce the spread of COVID-19. 
"
50,"Although [RM] Initially, voter turnout had been low, primarily fueled by fears of contracting or spreading the virus. [RM] Voter turnout slowly increased into the morning, however. [RM] Authorities also made wearing face masks a compulsory requirement along with the use of hand sanitizer in the polling stations when voters were entering and leaving them. [ADD] Sri Lanka was successful in handling the first wave of the pandemic, the government failed to handle the second and the third waves of the pandemic which caused a spike in COVID-19 deaths since November 2020. [ADD] Sri Lanka saw a sharp spike in COVID-19 cases when the authorities relaxed the health restrictions during the Sinhala and Tamil New Year in April 2021. [ADD] The highly contagious delta variant has been responsible for the considerably high fatality rate in the country since August 2021. [RM] <Background> -- President Gotabaya Rajapaksa imposes a ten-day nationwide lockdown in Sri Lanka in an attempt to reduce the spread of COVID-19. 
"
51,"Prior to 27 January, the Sri Lankan Ministry of Health had instructed staff at Bandaranaike International Airport to screen passengers for symptoms. [ADD] As of August 2021, Sri Lanka became the country with fourth largest daily deaths in the world by population just behind Georgia, Tunisia and Malaysia. [ADD] Negligence of government in implementing a lockdown, neglient behaviour of general public along with the teachers protests have all contributed to the record spike of COVID-19 cases and COVID-19 deaths in the country since the month of August in 2021. [ADD] <Summary> -- President Gotabaya Rajapaksa imposes a ten-day nationwide lockdown in Sri Lanka in an attempt to reduce the spread of COVID-19. 
"
52,"On 20 August 2021, government imposed a ten day lockdown islandwide to curb the spread of COVID-19 cases and to control the COVID-19 fatality rates. [ADD] The decision to lockdown the country came following the immense pressure from the health authorities and the political parties who demanded for complete lockdown after Sri Lanka surpassed 1000 deaths in just a space of eight days. [ADD] It is believed that the COVID-19 cases in the country are underreported by the officials and allegations were also raised regarding the manipulation of details regarding the COVID-19 situation in the country. [ADD] <Summary> -- President Gotabaya Rajapaksa imposes a ten-day nationwide lockdown in Sri Lanka in an attempt to reduce the spread of COVID-19. 
"
