,paragraph
31,"[{'summary_text': 'On 14 August 2021, the Taliban entered Mazar-i-Sharif, provincial capital of Balkh Province, in an attempt to capture it. [ADD] President Ghani had previously visited the city to rally local warlords to fight the Taliban. <Analysis> -- The Taliban captures the eastern Logar Province and seizes seven more provincial capitals, Gardez, Sharana, Asadabad, Maymana, Mihtarlam, Nili'}]"
32,"[{'summary_text': ""Afghan President Ashraf Ghani agrees to step down and allow an interim Taliban government to govern the country amid the insurgent group's advance. Among the people in the negotiation team is the first president of Afghanistan after the 2001 U.S. invasion, Hamid Karzai.""}]"
33,"[{'summary_text': ""President Ashraf Ghani agrees to form a team for negotiations and also agrees to step down and allow an interim Taliban government to govern the country amid the insurgent group's advance. Among the people in the negotiation team is the first president of Afghanistan after the 2001 U.S. invasion, Hamid Karzai. Later in the day, it was announced that former president Karzai was part of the negotiations team and that President Ghani announced his intent to step""}]"
34,"[{'summary_text': 'June 10, 2021: Fredericton MP Jenica Atwin left the Green caucus and joined the Liberals, citing party infighting over the Israeli–Palestinian conflict. [ADD] <Timeline - 2021> -- Prime Minister Justin Trudeau obtains the dissolution of the House of Commons for an election scheduled on September 20.'}]"
35,"[{'summary_text': 'Prime Minister Justin Trudeau obtains the dissolution of the House of Commons for an election scheduled on September 20. The election will be held on September 21. The next election will take place on September 25. The first election since the last election was held on October 1, 2015.'}]"
36,"[{'summary_text': 'Afghan interior ministry in a statement said the Afghan president Ghani decided to relinquish power and an interim government led by Taliban will be formed. Meanwhile, security forces surrendered Bagram Airfield to the Taliban; the airbase houses around 5,000 Taliban and Islamic State of Iraq and the Levant prisoners. Embassies of Western countries are evacuated and relocated at Kabul\'s Hamid Karzai International Airport. The Russian embassy is not evacuated, as it considers that ""the situation in Kabul is a bit tense, but there is no war in the city"". The Turkish embassy also remains open.'}]"
37,"[{'summary_text': 'On 5 August 2021, in response to the detection of six new community cases, the Victorian Government announced their sixth lockdown, commencing that evening at 8 pm for seven days. At about 7pm that day there was an anti-lockdown protest of up to 400 people in Flinders Street, Melbourne. [RM] <Event cancellations> -- Greater Darwin and Katherine enter a three-day lockdown after new community transmissions of COVID-19 were reported.'}]"
38,"[{'summary_text': 'Greater Darwin and Katherine enter a three-day lockdown after new community transmissions of COVID-19 were reported. Meanwhile, lockdown restrictions in Melbourne are extended and tightened for an additional two weeks, with a controversial nighttime curfew reinstated. On [ADD] <Timeline - Sixth lockdown> -- Greater Darwin and'}]"
39,"[{'summary_text': 'This followed the state having 20 new cases, 5 with an unknown source. Greater Darwin and Katherine enter a three-day lockdown after new community transmissions of COVID-19 were reported. Meanwhile, lockdown restrictions in Melbourne are extended and tightened for an additional two weeks, with a controversial nighttime curfew reinstated.'}]"
40,"[{'summary_text': ' 2020 Australian Grand Prix (scheduled for 15 March) was cancelled, <Event cancellations> [ADD] This followed the state having 20 new cases, 5 with an unknown source.  Greater Darwin and Katherine enter a three-day lockdown after new community transmissions of COVID-19 were reported. Meanwhile, lockdown restrictions in Melbourne are extended and tightened for an additional two weeks, with a controversial nighttime curfew reinstated.'}]"
41,"[{'summary_text': 'On [ADD] 16 August the lockdown was extended for another 14 days, with a target end date of 2 September. <Event cancellations> -- Greater Darwin and Katherine enter a three-day lockdown after new community transmissions of COVID-19 were reported. Meanwhile, lockdown restrictions in Melbourne are extended and tightened for an additional'}]"
42,"[{'summary_text': 'As of 17 August, the Panjshir Valley was — according to one observer — ""under siege on all sides"" but had not come under direct attack. As of August 2021, no military conflict had occurred and a negotiated end to the political impasse has been discussed.'}]"
43,"[{'summary_text': 'On 1 September 2020, applications for ""green lane"" travel bubbles for travellers from New Zealand and Brunei were opened. Visitors from those 2 countries would be required to take a COVID-19 test on arrival at Changi Airport and self-isolate until they received a negative test result, but otherwise did not have to stay in quarantine upon arrival in Singapore. This was provided they have remained in the country for the last consecutive 14 days prior to their visit to Singapore.'}]"
44,"[{'summary_text': 'On 11 November 2020, Hong Kong and Singapore have agreed to launch a travel bubble to restart tourism without needing to quarantine at the other end. [ADD] <Domestic impact - Tourism Industry> -- Singapore begins reopening its borders with the launch of Vaccinated Travel Lanes for fully vaccinated travellers from Germany and Brunei, while quarantine-free restrictions will be eased for travellers from Hong Kong, Macau, Mainland China outside of Jiangsu Province, New Zealand and Taiwan.'}]"
45,"[{'summary_text': 'The authorities took cautious measures as the economy began to reopen to more regular outside travellers in August. Travellers who did not quarantine in a dedicated facility would have to wear an electronic tag throughout the 14-day period. Singapore also implemented a Reciprocal Green Lane (RGL) and Periodic Commuting Arrangement (PCA) with Malaysia, allowing limited travel between the two countries. Later in the month, arrivals from certain countries had their 14- days quarantine reduced to 7 days; those arriving from Brunei and New Zealand who were tested negative upon arrival would be allowed in without any quarantine. On 30 September 2020, the Singapore government announced that the country will lift border restrictions'}]"
46,"[{'summary_text': 'One such travel bubble between Singapore and Hong Kong was to have started on 22 November; initially postponed to 2021 due to the resurgence of COVID-19 cases in Hong Kong, it was eventually canceled in August 2021. These rules banned gatherings and led some to be charged in court, fined or even jailed for offences related to these laws.'}]"
47,"[{'summary_text': 'On 11 November 2020, Hong Kong and Singapore have agreed to launch a travel bubble to restart tourism without needing to quarantine at the other end. It was hoped that having a quarantine-free travel would boost tourism and business between the two Asian hubs cities, though anyone travelling between them will have to undergo a compulsory COVID-19 test before they flew. The travel bubble was scheduled to start on 22 November 2020. However, the day before the launch, both cities announced that it would be deferred by two weeks until early December. This was due to a sudden spike in new infections in Hong Kong. On 1 December, the launch date was deferred again to beyond December 2020. This showed the'}]"
48,"[{'summary_text': ' COVID-19 reached Sri Lanka on 27 January 2020. The first reported case involving a Sri Lankan person outside the country was reported in Italy on 3 March 2020. As of 23 March, forty-five quarantine centres had been built in the country by the Sri Lanka Army as a preventative measure to attempt to stop the spread of the pandemic. Nearly 3,500 people were placed under quarantine in 45 quarantine centres, including 31 foreigners from 14 countries.'}]"
49,[{'summary_text': 'The 2020 Sri Lankan parliamentary election was held on 5 August 2020 during the pandemic. President Gotabaya Rajapaksa imposes a ten-day nationwide lockdown in Sri Lanka in an attempt to reduce the spread of COVID-19.  Sri Lanka was in the middle of a pandemic during the election.'}]
50,"[{'summary_text': 'Sri Lanka was successful in handling the first wave of the pandemic, the government failed to handle the second and the third waves which caused a spike in COVID-19 deaths since November 2020. The highly contagious delta variant has been responsible for the considerably high fatality rate in the country since August 2021.  Sri Lanka saw a sharp spike'}]"
51,"[{'summary_text': 'As of August 2021, Sri Lanka became the country with fourth largest daily deaths in the world by population just behind Georgia, Tunisia and Malaysia. Prior to 27 January, the Sri Lankan Ministry of Health had instructed staff at Bandaranaike International Airport to screen passengers for symptoms. [ADD]'}]"
52,"[{'summary_text': 'On 20 August 2021, government imposed a ten day lockdown islandwide to curb the spread of COVID-19 cases and to control the CO VID-19 fatality rates. The decision to lockdown the country came following the immense pressure from the health authorities and the political parties who demanded for complete lockdown after Sri Lanka surpassed 1000 deaths in just a space of eight days. [ADD] It is believed that the COVID ""19"" cases in the country are underreported by the officials and allegations were also raised regarding the manipulation of details regarding the'}]"
53,"[{'summary_text': 'Some businesses imposed a voluntary lockdown for a period of 10 to 14 days during the early parts of August when the government was adamant not to impose a lockdown due to the worsening situation of the economy. To make things worse, the Central Bank of Sri Lanka implemented the contractionary tight monetary policy strategy in August 2021 and Sri Lanka became the first nation in Asia to tighten the monetary policy during the pandemic era.'}]"
54,"[{'summary_text': 'On 13 March, three more patients tested positive for the virus in Sri Lanka. One of these patients was a 41-year-old Sri Lankan male who had arrived from Germany. He was admitted to the Infectious Disease Hospital in Angoda. The other two patients were from a group of people who had been quarantined at a facility in Kandakadu.'}]"
55,"[{'summary_text': 'On 5 May, another person died of the virus, bringing the total death count to 9. On the same day, 16 people tested positive for the virus and brought the total case count to 771. On 6 May, 29 people test positive for COVID-19, mostly Navy personnel. On 21 May 2020, the total number of people with the virus reached 797.'}]"
56,"[{'summary_text': 'On 7 July, a new case was recorded from Welikada Prison, where an inmate had been transferred from the Kandakadu Treatment and Rehabilitation Centre. Meanwhile, over 177 people who were in contact with the infected inmate were subject to PCR tests. <Timeline - 16 June 2020 – 30 June 2020>'}]"
57,"[{'summary_text': 'Around 4000 people at the Navy Camp, including sailors and their families, were quarantined within the camp. Many sailors were on leave when the camp was quarantineined. On 23 April, 30 sailors tested positive for the virus, with the count rising to 58 the next day. Due to the spread, all sailors were recalled to the camp and transferred to Colombo'}]"
58,"[{'summary_text': 'On 4 October 2020, a 39-year-old woman employed in an apparel manufacturing facility in Gampaha tested positive for COVID-19. [ADD] <Timeline - 1 January 2021 – present> -- President Gotabaya Rajapaksa imposes a ten-day nationwide lockdown in Sri Lanka in an attempt to reduce the spread of COVID'}]"
59,"[{'summary_text': 'On It was revealed that she was working in the Brandix garment factory in Minuwangoda. Subsequently, a police curfew assisted by the army was imposed Minu Wangoda and Divulapitya. On 4 October, the total number of new infections rose to 101 due to the number of infections reported from the Minuwan appareal factory. On the same day the Ministry of Education announced that it is considering whether to hold or postpone the upcoming Grade 5 Scholarship examination and the G.C.E. Advanced Level examinations scheduled to'}]"
60,"[{'summary_text': 'On 11 October 2020, a reported new COVID-19 case involved a female student of University of Kelaniya\'s Social Science Faculty. In the University of Ruhuna, a student\'s father tested for COVID ""19"" on 12 October. The student and her roommate were quarantined. Later, on 13 October, 42 more employees tested positive for CO VID-19 and the Katunayaka Investment Zone cluster rose to 102 total cases. The first recorded patient lived in Dompe.'}]"
61,"[{'summary_text': 'On 11 October 2020, the Sri Lankan Army Commander said that Periakadei and Pattithottam, two villages in the Mannar district, would be isolated due to five people from the area testing positive for COVID-19. [ADD] <Clusters - Alleged Violation of Quarantine Protocol> -- President Gotabaya Rajapaksa imposes a ten-day nationwide lockdown in Sri Lanka in an attempt to reduce the spread of COVID'}]"
62,"[{'summary_text': ""On 13 October 2020, Bank of Ceylon Ratmalana branch an employee's husband tested positive for COVID-19, Colombo Regional Epidemiologist Dr. Dinuka Guruge said. [ADD] <Clusters - University cases> Sri Lankan Navy officers tested positive on 17 October 2020. They were sent to the National Operation Center. President Gotabaya Rajapaksa imposes a ten-day nationwide lockdown in Sri Lanka in an attempt to reduce the spread of COVID""}]"
63,"[{'summary_text': 'President Gotabaya Rajapaksa imposes a ten-day nationwide lockdown in Sri Lanka in an attempt to reduce the spread of COVID-19. On 19 March, the government decided to further extend the public holidays for 8 days from 20 March to 27 March to both private and public sectors as a remedy to confront the coronavirus pandemic.'}]"
64,"[{'summary_text': 'President Gotabaya Rajapaksa imposes a ten-day nationwide lockdown in Sri Lanka in an attempt to reduce the spread of COVID-19. The government has also urged the main supermarkets of the country such as Cargills, Arpico Super Centre, Keells Super, Sathosa and LAUGFS Holdings to sell the products to the customers via home delivery methods.'}]"
65,"[{'summary_text': 'On 2 March 2021, the island Iranaitivu, 300 km (190 mi) from Colombo, was designated as the burial site for COVID-19 victims from the minority Muslim and Christians who opposed cremations. 21 March 2020, the authorities urged all the people who attended the Sunday service at Philadelphia Missionary Church, Jaffna to self quarantine themselves for at least 14 days. It was reported that on'}]"
66,"[{'summary_text': ""Prime Minister Mahinda Rajapaksa condemned former UNP leader Ranil Wickremesinghe's remarks over the possibility of shortage of funds after 30 April and criticized him for politicizing the current coronavirus pandemic. <Response - Travel restrictions>""}]"
67,"[{'summary_text': 'On 11 May 2020, the Sri Lankan government lifted the curfew that had been in place since the start of the pandemic. This allowed the public to start going to work under the condition that social distancing be maintained. However, public gatherings, festivals and celebrations were still banned. The government also granted permission to open salons, beauty parlours, and barber shops on 11 May but strictly banned shaving.'}]"
68,"[{'summary_text': 'On 29 March 2020, the main suspect who was also the mastermind behind the Easter bombing in the Zion Church was arrested by police in Mount Lavinia during the curfew which was imposed indefinitely due to the coronavirus pandemic in the country. The suspect was identified as a 40-year-old resident of Dehiwala/Mount'}]"
69,"[{'summary_text': 'As of 15 May, more than 55,000 people were arrested for breaching the curfew rules imposed by the government. [ADD] <Response - Philadelphia Missionary Church> -- President Gotabaya Rajapaksa imposes a ten-day nationwide lockdown in Sri Lanka in an attempt to reduce the spread of COVID-19.'}]"
70,[{'summary_text': 'President Gotabaya Rajapaksa imposes a ten-day nationwide lockdown in Sri Lanka in an attempt to reduce the spread of COVID-19. On [ADD] <Response - Maligawatta stampede> -- President Gotabay Rajapak'}]
71,"[{'summary_text': 'Sri Lankan President Gotabaya Rajapaksa imposes a ten-day nationwide lockdown in Sri Lanka in an attempt to reduce the spread of COVID-19. Center for Research and Development (CRD) of the Defence Ministry developed an interactive remotely operated robotic platform called Dr. Robort, a disinfection corridor and two mobile disinfection platforms. The Ministry of Defence requested the private sector to collaborate to commercialise these innovations and begin large scale manufacturing. The sudden demand for Nasopharyngeal swabs caused a shortage and its height the Infectious Diseases Hospital (IDH) was down to 30 swabs. SLINTEC identified the materials required and studied the manufacturing'}]"
72,"[{'summary_text': 'On 16 March, opposition MP Rajitha Senaratne made a controversial statement that ten school students had been infected with the virus while MP Sarath Fonseka claimed that there were three deaths due to the coronavirus. However, on 18 March Sarath fonseka accepted it was a mistake and that he was merely quoting false information on Facebook.'}]"
73,"[{'summary_text': 'Dhammika Bandara a mason who became a self-proclaimed sorcerer claimed that goddess Kali, the Hindu goddess of destruction gave him a recipe for a cure. He managed to gain the support of several politicians including Health Minister Pavithra Wanniarachi. After being denied to offer the magical potion to Jaya Sri Maha Bodhi Dhammik Bandara acted as if possessed by Kali and shouted ""I am Kali. I am your mother,"" at the Buddhist monk in charge.'}]"
74,"[{'summary_text': 'University of Ruhuna warned about a company called MeGha Primal that was fraudulently using the name of the Karapitiya hospital and the university to sell a supplement it claims cures COVID-19. Facebook, YouTube and Instagram quickly deleted the promotional pages of MeG'}]"
75,"[{'summary_text': 'On 21 March, a protest was held by prison inmates in Anuradhapura to separate themselves from each other after the identification of four reported coronavirus cases in an prison. [ADD] <Response - False reports and rumours> -- President Gotabaya Rajapaksa imposes a ten-day nationwide lockdown in Sri Lanka in an attempt to reduce the spread of COVID-19.'}]"
76,"[{'summary_text': 'The Sri Lankan government imposed ban on public gatherings for two weeks amid coronavirus fears and insisted that the permission should be taken from the police in order to do so. The Sri Lanka Planetarium has also been shut down until further notice with immediate effect from 17 March. The stock market activities were halted for at least 30 minutes on 13 March. On 5 March 2020, the Central Bank of Sri Lanka released monetary policy review and the monetary authority decided to maintain policy interest rates unchanged (SDFR fixed at 6.5% and the SLFR fixed at 7.5%).'}]"
77,"[{'summary_text': 'Sri Lankan President Gotabaya Rajapaksa imposes a ten-day nationwide lockdown in Sri Lanka in an attempt to reduce the spread of COVID-19. In the second quarter of 2020, the Sri Lankan trade deficit shrank by US$1 billion to US$3.8 billion from'}]"
78,"[{'summary_text': ""Sri Lanka's official reserves fell to US$6.6 billion in September 2020, Central Bank data showed, with most reserve assets based on foreign currency reserves. The fall was attributed to the Middle East migrant workers\\' crisis. [RM] <Impact - Religious services> -- President Gotabaya Rajapaksa imposes a ten-day nationwide lockdown in Sri Lanka in an attempt to reduce the spread of COVID-19.""}]"
79,"[{'summary_text': 'On 15 March 2020, Roman Catholic Archdiocese of Colombo Malcolm Ranjith held a televised church service to combat coronavirus pandemic and the archbishop revealed that church service and holy masses in Colombo and Chilaw will not be conducted until 31 March 2020. The ACJU also requested that the Friday Jummah prayers in mosques be halted until further notice.'}]"
80,"[{'summary_text': 'Sri Lankan Buddhist monks started Pirith Chanting a type of prayers to combat against COVID-19 island wide temples on a weekly basis. 11 April 2020, Government announce that new school year was postponed until 11 May 2020. Both cricket boards planned to reschedule the fixtures. In December 2020, the England and Wales Cricket Board (ECB) confirmed the dates for the tour, with both Test matches played in Galle.'}]"
81,"[{'summary_text': 'On August 18, U.S. defense secretary Lloyd Austin said that American troops will evacuate as many Americans and allied Afghan interpreters as they can, but also admitted that the Pentagon lacks the capacity to do so. On [ADD] Austin also announced that around 5,000 people have already been evacuated.'}]"
82,"[{'summary_text': 'On August 22, Austin announced that the U.S. Department of Defense will activate the Civil Reserve Air Fleet for the third time and send 18 aircraft planes that will be used by the United States military to help evacuate American citizens. August 17, approximately 1,100 people were evacuated on 13 flights. The White House said more than'}]"
83,"[{'summary_text': 'On August 18, U.S. defense secretary Lloyd Austin said that American troops will evacuate as many Americans and allied Afghan interpreters as they can, but also admitted that the Pentagon lacks the capacity to do so. On [ADD] Austin also announced that around 5,000 people have already been evacuated.'}]"
84,"[{'summary_text': 'On August 22, Austin announced that the U.S. Department of Defense will activate the Civil Reserve Air Fleet for the third time and send 18 aircraft planes that will be used by the United States military to help evacuate American citizens. August 17, approximately 1,100 people were evacuated on 13'}]"
85,"[{'summary_text': 'On August 18, U.S. defense secretary Lloyd Austin said that American troops will evacuate as many Americans and allied Afghan interpreters as they can, but also admitted that the Pentagon lacks the capacity to do so. On [ADD] Austin also announced that around 5,000 people have already been evacuated.'}]"
86,"[{'summary_text': 'On August 22, Austin announced that the U.S. Department of Defense will activate the Civil Reserve Air Fleet for the third time and send 18 aircraft planes that will be used by the United States military to help evacuate American citizens. August 17, approximately 1,100 people were evacuated on 13 flights. The White House said more than 3,200'}]"
87,"[{'summary_text': 'On August 16, a C-17 cargo plane, which usually includes less than 150 paratroopers, safely evacuated roughly 823 people to the Al Udeid Air Base in Qatar. On [ADD] August 22, President Joe Biden said that American troops may remain in Afghanistan past the August 31 deadline. He also announced that 11,000 people have been evacuated in the past 36 hours.'}]"
88,"[{'summary_text': 'As of 17 August, the Panjshir Valley was—according to one observer—""under siege on all sides"" but had not come under direct attack. The number of admissions for war injuries was increasing at the Emergency Surgical Centre for War Victims in Anabah in Panj'}]"
89,"[{'summary_text': 'On 22 August In response, the IEA announced ""hundreds"" of its forces had been dispatched to the Panjshir Valley.  The Islamic Emirate gave the opposition forces a four hour ultimatum to surrender. In a statement to Al Arabiya, Massoud rejected the'}]"
90,"[{'summary_text': 'Ahmad Massoud, who is leading the Panjshir resistance along with self-proclaimed acting president Amrullah Saleh, refuses to surrender the PanJshir Valley to the Taliban and says that war is ""unavoidable"" if the Taliban refuse dialogue on the formation of a comprehensive government.'}]"
