,paragraph,target
10,"Christopher Dodd, U.S. Senator of Connecticut, withdrew on January 3, 2008 after the Iowa Caucuses due to lack of support. <Candidates and potential candidates - Democratic Party> -- Former North Carolina Senator John Edwards withdraws his candidacy. 
",0
11,"Bryan Malatesta† of Texas <Candidates and potential candidates - Republican Party> -- Former North Carolina Senator John Edwards withdraws his candidacy. 
",0
12,"Jerome Corsi† was seeking the Constitution Party nomination, but withdrew on July 14, 2007. -- Former North Carolina Senator John Edwards withdraws his candidacy. 
",0
13,"Kelcey Wilson of California <Candidates and potential candidates - Independents> -- Former North Carolina Senator John Edwards withdraws his candidacy. 
",0
14,"Although he has said that he will not be running for president, published reports indicate that billionaire and New York City mayor Michael Bloomberg has been considering a presidential bid with $1 billion of his own fortune to finance it. Should Bloomberg decide to run as an independent, he would not need to campaign in the primary elections or participate in the conventions, greatly reducing both the necessary length and cost of his campaign. <Potential battleground states> -- Former North Carolina Senator John Edwards withdraws his candidacy. 
",0
15,"In their statement, the Chadian government calls for the citizens of Chad to mobilize themselves against the ""common enemy"", referring to militant members of the Rally for Democracy and Liberty and Platform for Change, Unity and Democracy (SCUD) rebel groups — Chadian rebels, allegedly backed by the Sudanese government — and Sudanese Janjaweed militiamen who crossed over the border from Sudan while pursuing Fur refugees and raiding cities for treasure. The RDL denied receiving support from the Sudanese government. Between December 26 and December 28 RDL and SCUD joined with six other rebel groups to form the United Front for Democratic Change rebel alliance, led by Mohammed Nour. <Summary> -- Battle of N'Djamena: Chadian rebels enter the capital N'Djamena and head for the presidential palace. 
",0
16,"The Chadian government stated, ""The Sudanese militias attacked the settlements of Borota, Ade, Moudaina... yesterday killing nine and injuring three among the civilian population... The Chadian government once again warns the Sudanese government against any hasty action because aggression by Sudanese militias will not go unpunished for much longer."" <Timeline - Tripoli Agreement> -- Battle of N'Djamena: Chadian rebels enter the capital N'Djamena and head for the presidential palace. 
",0
17,"Jesse Johnson† of West Virginia, former Mountain Party candidate for US Senate and Governor of West Virginia <Candidates and potential candidates - Green Party> -- Former Governor of Arkansas Mike Huckabee withdraws his candidacy. 
",0
18,"New Mexico: (5) New Mexico has been long eschewed as a nominal state, but that thinking has changed dramatically. With elections being heavily contested and victories being decided by two or three states, New Mexico has become one of the centers of political fighting. In 2000, Gore won by a razor-thin margin and in 2004, Bush won by a small, yet safe margin. These results have made experts conclude that New Mexico's five electoral votes, even though small in calculation, could tip the balance. Its penchant for populist streaks have made it an attraction for the Democrats, with Gov. Bill Richardson joining the crowd for the Democratic nomination, based on the calculation that Democrats need to win such Western states to advance their path towards succeeding Bush. <Potential battleground states> -- Former Governor of Arkansas Mike Huckabee withdraws his candidacy. 
",0
19,"It was the first time that fighting raging in western Sudan reached the capital, marking a dramatic widening of the conflict. <Summary> -- Shootings are reported in Khartoum, Sudan, one day after the rebel attack. Islamist leader Hassan al-Turabi is released from custody after being interrogated by police.  
",0
20,"On August 19, the eastern departments of Santa Cruz, Beni, Pando and Tarija, and Chuquisaca called strikes and protests in opposition to central government plans to divert part of the national direct tax on hydrocarbons towards its proposed pension plan. Brief clashes occurred in the Santa Cruz de la Sierra, capital of Santa Cruz, between police and armed youths enforcing the strike. In Tarija protesters seized and occupied government buildings. In response to the unrest Morales ordered the army to protect oil and gas infrastructure in the five provinces. <Protests begin> -- Honduran President Manuel Zelaya tells the incoming U.S. ambassador not to present his credentials in a show of solidarity with Bolivia and Venezuela. 
",0
21,"Anti-government protesters caused the explosion of a natural gas pipeline on September 10, 2008 according to the head of Bolivia's state energy company. He called the attack a ""terrorist attack"" and said it result in 10% cut in exports to Brazil. President Morales sent additional troops to the region following the attack. The next day clashes erupt between supporters and opponents of the government in the northeastern town of Cobija, capital of Pando department, resulting in eight deaths. Morales said his government would be patient with the unrest but warned that ""patience has its limits, really."" A spokesman for Morales said the unrest was opening the way to ""a sort of civil war."" <Violence escalates> -- Honduran President Manuel Zelaya tells the incoming U.S. ambassador not to present his credentials in a show of solidarity with Bolivia and Venezuela. 
",0
22,"The leader of the national opposition, Jorge Quiroga, accused the central government of organizing militias to retake the city of Cobija. Central government work had also ceased while American Airlines was suspending flights to the airport. Peasant supporters of Morales were also threatening to encircle Santa Cruz. Venezuelan President Hugo Chávez warned that if Morales was overthrown or killed Venezuela would give a ""green light"" to conduct military operations in Bolivia. <Violence escalates> -- Honduran President Manuel Zelaya tells the incoming U.S. ambassador not to present his credentials in a show of solidarity with Bolivia and Venezuela. 
",0
23,"This phase of the war soon acquired the name Eelam War II. It was marked by unprecedented brutality. The LTTE massacred 113 Sinhalese and Muslim policemen after they had surrendered on promises of safe conduct. The government placed an embargo on food and medicine entering the Jaffna peninsula and the air force relentlessly bombed LTTE targets in the area. The LTTE responded by attacking Sinhalese and Muslim villages and massacring civilians. One of the largest civilian massacres of the war occurred when the LTTE massacred 166 Muslim civilians at Palliyagodella. The government trained and armed Home Guard Muslim units then took revenge on Tamil villages. There was also significant massacre of Tamil civilians attributed to government forces, especially in the Eastern Province. Notable international jurist Neelan Thiruchelvam, in a speech at the ICES-Colombo, indicated that the appropriate investigations into massacres and disappearances of civilians including many children in the Sathurukondan, Eastern University, Mylanthanai and the mass murder and burial of school children at Sooriyakanda were hampered by the adoption of emergency regulations which were contributing to a climate of impunity. Along roadsides in the North and East, burning bodies became a common sight. Throughout the country, government death squads hunted down, kidnapped, or killed Sinhalese or Tamil youth suspected of being JVP or LTTE sympathizers, respectively. In October 1990, the LTTE expelled all the Muslims residing in Jaffna. A total of 28,000 Muslims were forced to leave their homes taking nothing but the clothes on their backs. <Eelam War II> -- The United States, European Union, Japan, and Norway urge the Tigers to cease fighting and negotiate with the government. 
",0
24,"On January 10, 2008 the LTTE formally responsed with the statement from the new head of the Tigers\' political wing, B. Nadesan. According to him, the LTTE is shocked and disappointed, since the Government of Sri Lanka has unilaterally withdrawn from the ceasefire agreement without any justifications. It is further stated that even now the LTTE is ready to implement every clause of the CFA agreement and respect it one hundred percent. The LTTE claimed that, taking into account the acts of the Government, the international community should immediately remove the bans it has placed on the LTTE. <Eelam War II> -- The United States, European Union, Japan, and Norway urge the Tigers to cease fighting and negotiate with the government. 
",0
25,"On 6 June, two bodies and debris from the aircraft were found 680 mi (1,090 km) northeast of the Fernando de Noronha islands off Brazil's northern coast. The debris included a briefcase containing an airline ticket, later confirmed to have been issued for the flight. 39 more bodies have been found since, bringing the total number of confirmed fatalities to 41. This accident is the deadliest in the history of Air France, surpassing the crash of an Air France charter flight from Paris-Orly Airport to Atlanta on 3 June 1962, and the airline's first fatal crash since Air France Flight 4590 in July 2000. Paul-Louis Arslanian, the head of the Bureau d\'Enquêtes et d\'Analyses pour la Sécurité de l\'Aviation Civile (BEA, Bureau of Enquiry and Analysis for Civil Aviation Safety), described it as the worst accident in French aviation history. It was also the first accident in commercial service resulting in fatalities in the 16-year operating history of the Airbus A330. <Summary> -- French authorities say two passengers on board Air France Flight 447 were linked to Islamic terrorism.  The Ministry of the Interior later stated that these two passengers turned out to be of no concern. 
",0
26,"On 2 June, two French Navy vessels, Foudre and Ventôse, were en route to the suspected crash site. Also among the ships sent to the site was the French research vessel Pourquoi Pas?, equipped with two mini-submarines that can descend to 6,000 m (20,000 ft) – the area of the Atlantic in which the plane went down may be as deep as 4,700 m (15,400 ft). A United States Navy Lockheed Martin P3 Orion MR submarine-hunting aircraft was also deployed in the search due to its low altitude endurance and patrol capability, sonar and magnetic anomaly detector (MAD) sensor suite. <Search and recovery - Aerial search, ships dispatched> -- French authorities say two passengers on board Air France Flight 447 were linked to Islamic terrorism.  The Ministry of the Interior later stated that these two passengers turned out to be of no concern. 
",0
27,"The cause of the crash remains unknown. The Bureau d\'Enquêtes et d\'Analyses pour la Sécurité de l\'Aviation Civile (BEA) is tasked with the official investigation. BEA chief Paul-Louis Arslanian said that he is not optimistic about finding the plane's flight recorders, since they may be under as much as 3,000 m (9,800 ft) of water and the terrain under this portion of the ocean is very rugged. Investigators are hoping to find the aircraft's tail, since the black box is located there. Although France has never recovered a black box from similar depths, there is precedent for such an operation: in 1988, an independent contractor was able to recover the cockpit voice recorder of South African Airways Flight 295 from a depth of 4,900 m (16,100 ft) in a search area of between 80 and 250 square nautical miles (270 and 860 km2). The black box contains a water-activated acoustic ""pinger"" which should remain active for 30 days, allowing search for the location of the signal origin. On 8 Jun the U.S. Navy flew two Towed Pinger Locators, which can detect the pinger beacons to a depth of 6,100 m (20,000 ft), to Brazil for use by two French ships. The French vessels would then use the locators to listen for transmissions from the black box. <Investigation> -- French authorities say two passengers on board Air France Flight 447 were linked to Islamic terrorism.  The Ministry of the Interior later stated that these two passengers turned out to be of no concern. 
",0
28,"Iran has one of the highest urban growth rates in the world. From 1950 to 2002, the urban proportion of the population increased from 27% to 60%. The United Nations predicts that by 2030 80% of the population will be urban. Most internal migrants have settled near the cities of Tehran, Isfahan, Ahvaz, and Qom. The listed populations are from the 2006/07 (1385 AP) census. Tehran, with population of 7,705,036, is the largest city in Iran and is the Capital city. Tehran is home to around 11% of Iran's population. Tehran, like many big cities, suffers from severe air pollution. It is the hub of the country's communication and transport network. <Geography and climate - Provinces and cities> -- Riot police clash with protesters in Tehran.   
",0
29,"In 334 BC, Alexander the Great invaded the Achaemenid Empire, defeating the last Achaemenid Emperor Darius III at the Battle of Issus in 333 BC. He left the annexed territory in 328–327. In each of the former Achaemenid territories he installed his own officers as caretakers, which led to friction and ultimately to the partitioning of the former empire after Alexander's death. <History - Pre-Islamic statehood (625 BC – 651 AD)> -- Riot police clash with protesters in Tehran.   
",0
30,"During this era, Iranians continued the cultural and scientific enterprises set-up by the Sassanids on a much larger scale. The blossoming Persian literature, philosophy, medicine and art became major elements in the forming Muslim civilization. The Islamic Golden Age which is characterized by developments in science, owed, to a large extent, its importance to vital contributions made by Iranians. The Islamic Golden Age reached its peak in the 10-11th centuries, during which Persia was the main theatre of scientific activity. The Persian influence of this period relied heavily upon the achievements of the Sassanids, and the weight of this influence has lead the Muslim world to accept Islamic civilization as the Perso-Islamic civilization. <Culture> -- Riot police clash with protesters in Tehran.   
",0
31,"Freestyle wrestling has been traditionally referred to as Iran's national sport, but today, the most popular sport in Iran is football (soccer), with the national team having reached the World Cup Final Tournament three times, and having won the Asian Cup on three occasions. Iran was the first country in the Middle East to host the Asian Games. It is home to several unique skiing resorts, with the Tochal resort being the world's fifth-highest ski resort (3,730 m (12,238 ft)* at its highest station) situated only fifteen minutes away from Tehran. Being a mountainous country, Iran offers enthusiasts abundant challenges for hiking, rock climbing, and mountain climbing. Iranian women are also active in sports. <Sports> -- Riot police clash with protesters in Tehran.   
",0
32,"The July 2009 Ürümqi riots (simplified Chinese: 7.05 乌鲁木齐打砸抢烧严重犯罪事件; traditional Chinese: 2009年7月烏魯木齊騷亂) broke out on 5 July 2009, in Ürümqi, the capital city of the Xinjiang Uyghur Autonomous Region, in northwestern China. They involved between 1,000 and 3,000 Uyghurs. The total death toll has risen to at least 156, according to Chinese government sources. <Summary> -- Chinese police arrest 1,434 people over rioting in Xinjiang province.   
",0
33,"Turkey: Nationalist politicians urged the government to pressure the Chinese government to stop the crackdown, ""The Turkish government must take firm action immediately to stop the attacks on our Uighur brothers and talk to the Chinese government in this regard"" as it has ""deeply upset the Turkish nation"". The Foreign Ministry later released a statement expressing ""deep sadness"" at the recent events, and urged the Chinese authorities to find the perpatrators and bring them to justice. <International reaction - Countries and territories> -- Uighur rights activists criticise Muslim-majority countries for not speaking out against Chinese repression of Muslim Uighurs. 
",0
34,"About 1,000 police officers were dispatched with tasers and weapons, and they fired gunshots into the air to try to quell the unrest. Up to Sunday evening, 1,434 suspects in connection with the riot were arrested. <Events - Escalation and spread> -- Turkey is to ask the United Nations Security Council to discuss ways to end the violence in Xinjiang. 
",0
35,"About 1,000 police officers were dispatched with tasers and weapons, and they fired gunshots into the air to try to quell the unrest. Up to Sunday evening, 1,434 suspects in connection with the riot had been arrested. The WUC claimed the protests turned violent due to police brutality, or because police opened fire indiscriminately into the crowd. Radio Free Asia reported a purported eyewitness saying ""When the demonstrators reached the People's Square, armed police suppressed them using electroshock weapons and so on... After that, other protests erupted in Uyghur areas of town."" <Events - Escalation and spread> -- Turkey's Prime Minister  Erdogan strengthens his rhetoric: ""These incidents in China are as if they are genocide. We ask the Chinese government not to remain a spectator to these incidents."" [permanent dead link]  
",0
36,"Afghanistan: The Afghan government ""backs the territorial integrity and sovereignty of China"" a Foreign Ministry statement said. <International reaction - Countries> -- Turkey's Prime Minister  Erdogan strengthens his rhetoric: ""These incidents in China are as if they are genocide. We ask the Chinese government not to remain a spectator to these incidents."" [permanent dead link]  
",0
37,"Republic of China (Taiwan): The government condemned all those who instigated the violence as deserving ""the strongest condemnation"". Premier Liu Chiao-shiuan also urged all parties to exercise self-restraint and hopes that the Chinese authorities will demonstrate the ""greatest possible leniency and tolerance in dealing with the aftermath"" and respect the rights of ethnic minorities. <International reaction - Countries> -- Turkey's Prime Minister  Erdogan strengthens his rhetoric: ""These incidents in China are as if they are genocide. We ask the Chinese government not to remain a spectator to these incidents."" [permanent dead link]  
",0
38,"The British returned in 1771 but due to economic reasons decided to leave the Islands in 1774. The British withdrawal was completed in 1776,, with a plaque asserting British sovereignty left behind, leaving Spain in total control. From 1774 to 1811, the islands were ruled from Buenos Aires as part of the Viceroyalty of the River Plate. The Spanish governor was withdrawn in 1806, and the islands abandoned by the Spanish settlers by a 8 January 1811 decree of the Governor of Montevideo, in turn leaving a plaque asserting Spanish sovereignty. <History of the claims - Spanish claim> -- Desire Petroleum, a British-listed firm, begins drilling for oil at an offshore platform within the territory of the Falkland Islands, amid mounting criticism from Argentina and Venezuela. 
",0
39,"A colonial administration was formed in 1842. This was expanded in 1908, when in addition to South Georgia claimed in 1775, and the South Shetland Islands claimed in 1820 the UK unilaterally declared sovereignty over more Antarctic territory south of the Falklands, including the South Sandwich Islands, the South Orkney Islands, and Graham Land, grouping them into the Falkland Islands Dependencies. <History of the claims - British claim> -- Desire Petroleum, a British-listed firm, begins drilling for oil at an offshore platform within the territory of the Falkland Islands, amid mounting criticism from Argentina and Venezuela. 
",0
40,"Officials have warned that aftershocks above magnitude 5.5 are likely to continue, and the China Earthquake Networks Center warned that further aftershocks above magnitude 6 are likely for several days following the main earthquake. <Damage> -- Premier Wen Jiabao arrives in Yushu Tibetan Autonomous Prefecture and postpones his trip to southeast Asia. 
",0
41,"The southern Qinghai Province, China earthquake of April 13, 2010 occurred as a result of strike-slip faulting in the tectonically complex region of the eastern Tibetan Plateau. This earthquake occurred several hundred kilometers north of the convergent India:Eurasia plate boundary, where the Indian Plate is moving northwards with respect to Eurasia at a rate of approximately 46 mm/yr. This convergence drives the uplift of the Himalaya Mountains, at a rate of approximately 10 mm/yr, and the Tibetan Plateau, which is an extremely broad region of thickened and uplifted crust sitting above 4.5–5 km. <Background> -- The death toll rises to 617.   
",0
42,"The 2010 Thai political protests are an ongoing series of protests against the ruling government in Thailand. The protests are the result of an ongoing political crisis and turned violent in March–May 2010. <Summary> -- Hospital officials confirm the death of Thai general, Khattiya Sawasdipol, after he was shot on Thursday as he backed protesters in Bangkok.  
",0
43,"Aviation officials termed it an ""accident"" instead of an ""incident,"" because in aviation parlance an accident denotes causalities. Mangalore police official, R. Ramesh, said the plane crashed after severely overshooting the runway. ""So far I have only heard of seven survivors. Many are feared dead."" <Crash details> -- An investigation into the cause of the crash begins; the flight's black box is located.  
",0
44,"Israeli commandos from the elite Shayetet 13 unit boarded the ships at 04:00 while in international waters 64 kilometres (40 mi) off the Gaza coast. Footage from the flotilla's lead vessel, the MV Mavi Marmara, showed activists clashing with Israeli soldiers. Al Jazeera's journalist Jamal Elshayyal sent the footage before the communication was cut off. He said that a white surrender flag was raised from the ship and there was no live fire coming from the passengers. <Boarding> -- Israel's ambassador to Denmark, Arthur Avnon, announces that the Israeli military had received rumours of a report which asserted a link between the flotilla and Al-Qaida.  
",0
45,"Raza Agha – Pakistan's news channel AAJ TV producer <Notable people onboard> -- Israel's ambassador to Denmark, Arthur Avnon, announces that the Israeli military had received rumours of a report which asserted a link between the flotilla and Al-Qaida.  
",0
46,"Edda Manga – Swedish historian <Notable people onboard> -- Israel's ambassador to Denmark, Arthur Avnon, announces that the Israeli military had received rumours of a report which asserted a link between the flotilla and Al-Qaida.  
",0
47,"The Eleftheri Mesogeios (Eλεύθερη Mεσόγειος, Free Mediterranean) is a Greek-flagged cargo vessel and the Sfendoni (Σφενδόνη, Slingshot) is a Greek-flagged passenger vessel operated by the Greek Boat for Gaza and the European Campaign to End the Siege of Gaza. Both vessels left Piraeus on 25 May to rendezvous with the rest of the flotilla off Cyprus. <Ships in flotilla - <i>Eleftheri Mesogeios</i> and <i>Sfendoni</i>> -- Turkey calls for sanctions against Israel.  The United States, a permanent member of the UN Security Council, acts to mitigate the language of the Security Council's draft statement which condemned Israel's action ""in the strongest terms"", opting instead for one that requests an ""impartial"" investigation of the deaths and condemns the ""acts"" that led to it. 
",0
48,"The village of Mokhovoye saw the deaths of 7 residents, while 7 more people disappeared and much of the village was burnt to the ground. <Summary> -- At a meeting of the national Security Council Medvedev states: ""By no means you may allow anarchy [...] You must not let the situation go out of local authorities' control"". 
",0
49,"BES acts as an e-mail relay for corporate accounts so that users always have access to their e-mail. The software monitors the user's local ""inbox"", and when a new message comes in, it picks up the message and passes it to RIM's Network Operations Center (NOC). The messages are then relayed to the user's wireless provider, which in turn delivers them to the user's BlackBerry device. <Supporting software - BlackBerry Enterprise Server> -- BlackBerry devices can be used again now across the country following a four-hour outage earlier today. 
",0
50,"BCESA (BlackBerry Certified Enterprise Sales Associate, BCESA40 in full) is a BlackBerry Certification for professional users of RIM (Research In Motion) BlackBerry wireless e-mail devices. <Certification> -- According to Saudi officials, a deal is close to prevent the ban of the devices. 
",0
51,"BlackBerry Certified Server Support Technician (BCSST) <Certification> -- According to Saudi officials, a deal is close to prevent the ban of the devices. 
",0
52,"BlackBerry Certified Support Technician (BCST) < The BlackBerry Store> -- According to Saudi officials, a deal is close to prevent the ban of the devices. 
",0
53,"Commenting on the floods, the United States Secretary of State, Hillary Rodham Clinton, stated, ""The Pakistani people are friends and partners, and the United States is standing with them as the tragic human toll mounts from flooding in northwest Pakistan."" The United States stated that it would provide 56,000 ready meals on August 1 and 2, twelve temporary bridges and two water filtration plants to help the flood victims as part of a US$10 million aid pledge. Hillary Clinton personally donated $10 for flood relief in an effort to encourage people to donate, no matter how small the amount. <International response> -- Torrential rains worsen the ongoing flood crisis across Pakistan, which has so far affected 14 million people, as rescue helicopters are forced to stay on the ground in the northwest of the country.  
",0
54,"Kuwait has also donated US $5 million to victims of the severe floods in Pakistan, according to Kuwait Red Crescent Society (KRCS). <International response> -- The United Nations launches a major appeal for assistance dealing with the ongoing floods that have devastated Pakistan. 
",0
55,"Japan provided US$ 230,000 for emergency relief goods, while additional assistance of up to US$3 million has been committed for the disaster aftermath. <Relief efforts - Response by national governments> -- The Prime Minister of Pakistan Yusuf Raza Gilani estimates that 20 million people have been affected by the floods.  
",0
56,"Some Pakistani commentators also said that the construction of dams on the Sutlej and Beas rivers by India had exacerbated the situation, claiming that India deliberately released water from the dams to increase flooding. <Flooding> -- The United Nations states there is high risk for as many as 3.5 million children who may be struck down by diseases in the water.  
",0
57,"Kuwait has also donated US $5 million to victims of the severe floods in Pakistan, according to Kuwait Red Crescent Society (KRCS). <Relief efforts - Response by national governments> -- The United Nations states there is high risk for as many as 3.5 million children who may be struck down by diseases in the water.  
",0
58,"Syria announced that it would send 35 tonnes of foodstuffs, medical supplies, medicines and many other necessary materials to help flood victims <Relief efforts - Response by national governments> -- The United Nations states there is high risk for as many as 3.5 million children who may be struck down by diseases in the water.  
",0
59,"The power infrastructure of Pakistan also took a severe blow from the floods, which damaged 10,000 transmission lines, transformers, feeders and power houses in different flood hit areas. Flood water inundated Jinnah Hydro power and 150 power houses in Gilgit. The damage caused a power shortfall of 3,135 MW. <Flooding> -- The European Union pledges an additional $39 million and the Islamic Development Bank pledges $11.2 million.  
",0
60,"Aid agencies have warned that outbreaks of diseases, such gastroenteritis, diarrhea, and skin diseases due to lack of clean drinking water and sanitation can pose a serious new risk to victims of flood. On August 14, the first case of cholera emerged in the town of Mingora, as fear ran through millions of stranded victims of flood, who are already suffering from gastroenteritis and diarrhea.. <Flooding> -- The European Union pledges an additional $39 million and the Islamic Development Bank pledges $11.2 million.  
",0
61,"Pakistan has appealed to international donors for help in responding to the disaster. Twenty-one helicopters and 150 boats were pressed into service to assist the affected people according to the National Disaster Management Authority of Pakistan. The US embassy in Pakistan provided seven helicopters to the authorities to assist in relief-operations. The United Nations also launched relief efforts. It appealed for $460 million to provide immediate help, including food, shelter and clean water. UN Secretary-General Ban Ki-moon visited Pakistan on 15 August to oversee and discuss the relief efforts. A Pakistani army spokesman said that troops had been deployed in all affected areas and had rescued thousands of people. Prime Minister Yousaf Raza Gillani visited the province and directed the Pakistan Navy to help evacuate the flood-victims. By early August, more than 352,291 people have been rescued. <Relief efforts> -- The European Union pledges an additional $39 million and the Islamic Development Bank pledges $11.2 million.  
",0
62,"Denmark has donated 60 million DKK. ($10 million) <Relief efforts - Response by national governments> -- The European Union pledges an additional $39 million and the Islamic Development Bank pledges $11.2 million.  
",0
63,"Germany initially committed 1 million euros for the victims, which was further increased to 2 million euros on 6 August. On 12 August, Germany announced a $13 million aid package. <Relief efforts - Response by national governments> -- The European Union pledges an additional $39 million and the Islamic Development Bank pledges $11.2 million.  
",0
64,"Save the Children are using helicopters, donkeys and boats to deliver doctors and medical supplies to families cut off by the water. They\'ve sent a medical team and medicines in on donkeys in Allai and treated more than one thousand patients currently and plan to distribute 800 shelter kits, including tarpaulins, jerry cans and plastic glasses, to flood-affected families. <Relief efforts - Response by non-governmental organizations> -- The European Union pledges an additional $39 million and the Islamic Development Bank pledges $11.2 million.  
",0
