,paragraph,target
12,"Florida: (27) The deciding state in 2000, whose votes went – narrowly and controversially – to George W. Bush. Florida is situated in the South, which has become a Republican stronghold. Experts agree that the winner of Florida will have a significant advantage towards advancing to the White House. Florida has trended toward the Republican Party since 2000. For Democrats, the vote of the elderly is seen as a potential boon, due to the party's traditional stance on Medicare and Social Security (two key components of winning the elderly vote), while Republicans have an advantage with their stance on tax cuts and values issues. As for Republicans, the business attention of tax cuts and Cuban-American attention has made it a strong contender. Also, Florida's recently-elected governor, Republican Charlie Crist, has enjoyed high approval ratings and has been mentioned as a possible vice presidential nominee on the 2008 GOP ticket. Another factor that may drag down the Republican ticket might be Governor Mitch Daniels, who has become very unpopular in the state. Also in 2006, Democrats gained control of State House. The state hasn\'t voted for a Democratic Presidential Nominee since Lyndon Johnson in 1964, but a poll out by the Indianapolis Star features a generic Democrat leading a generic Republican in the Presidential election 37%-32%. The poll shows the War in Iraq and the sluggish economy to be the biggest issues among Hoosiers. [RM] <Possible electoral college changes - National Popular Vote Interstate Compact> -- Former North Carolina Senator John Edwards withdraws his candidacy. 
",1
13,"Iowa: (7) Iowa traditionally leans Republican, but has straddled the fence recently; it went for Gore in 2000 and Bush in 2004. [ADD] <Possible electoral college changes - National Popular Vote Interstate Compact> -- Former North Carolina Senator John Edwards withdraws his candidacy. 
",1
14,"On November 30, 2007, the UFDD declared a ""state of war"" against French and foreign military forces in an apparent warning to EUFOR Chad/CAR\u200e, comprising European Union 3,700 peacekeeping troops, who should deploy in eastern Chad on a U.N. mission to protect camps housing more than 400,000 Chadian and Sudanese refugees. [RM] <Alleged Sudanese support for Chadian rebels> -- Battle of N'Djamena: Chadian rebels enter the capital N'Djamena and head for the presidential palace. 
",1
15,"On [ADD] <Timeline - January 2008> -- Battle of N'Djamena: Chadian rebels enter the capital N'Djamena and head for the presidential palace. 
",1
16,"Members of the Chadian government repeatedly accused Sudan of supporting the United Front for Democratic Change rebel alliance financially, territorially, and by providing weapons. [ADD] <Alleged Sudanese support for Chadian rebels> -- Battle of N'Djamena: Chadian rebels enter the capital N'Djamena and head for the presidential palace. 
",1
17,"For the Republicans, American Samoa will vote on March 1. March 4 has been dubbed by some as this year's Mini Tuesday, when the delegate-rich states of Texas and Ohio, along with Rhode Island and Vermont, vote for both parties. Wyoming then votes for the Democrats and Guam votes for the Republicans on March 8, with Mississippi then voting on March 11. [ADD] <The long campaign - March 2008> -- Former Governor of Arkansas Mike Huckabee withdraws his candidacy. 
",1
18,"The primary season ends in June, with contests on June 3 in New Mexico (Republican), Montana (Democratic), and South Dakota (both parties). The final primary will be on June 7th in Puerto Rico for the Democrats. <The long campaign - Later events> -- Former Governor of Arkansas Mike Huckabee withdraws his candidacy. 
",1
19,"Estimates of the death toll within Myanmar (Burma) are around 22,000. [ADD] An estimated 41,000 people were also missing. It is believed that the cyclone is the deadliest tropical cyclone in the world since the 1991 Bangladesh cyclone, which killed over 138,000 people. At least 10,000 people have been reported to have perished in the delta town of Bogale <Impact - Myanmar> -- Myanmar state government reports that the death toll from the cyclone has reached 22,000, with 41,000 people missing. 
",1
20,"The 2008 attack on Omdurman and Khartoum was a military advance by the Justice and Equality Movement, a Darfuri rebel group, against the Sudanese government in the cities of Omdurman and Khartoum. From the ruling government's viewpoint, the life of the invasion seems to have only taken place within the day of May 10, 2008, while JEM has countered the government's account with reports of heavy fighting in parts of the Khartoum metropolitan area into May 11. [RM] <Summary> -- Sudan's government halts an attack on the country's capital Khartoum by hundreds of rebels from Darfur. 
",1
21,"On May 10, 2008 Sudanese government soldiers and Darfur rebels clashed in the city of Omdurman, opposite the capital of Khartoum, over the control of a military headquarters. [ADD] <Summary> -- Sudan's government halts an attack on the country's capital Khartoum by hundreds of rebels from Darfur. 
",1
22,"However, the JEM's spokespersons had denied the government's allegations of victory against the rebels, instead stating that fighting was still going on in Omdurman and Khartoum North. [RM] The JEM has identified the overthrow of Omar Hassan al-Bashir's military government as the goal of the rebels.[citation needed] <Events> -- Shootings are reported in Khartoum, Sudan, one day after the rebel attack. Islamist leader Hassan al-Turabi is released from custody after being interrogated by police.  
",1
23,"Sudan accused its neighbor Chad of providing haven and ammunition to the rebels, and the Sudanese government had announced that rebels were moving over the border from Chad to the Darfur region, which is the epicenter of the conflict between Darfuri rebels and pro-government Janjaweed militants; the rebels then moved over some 600 km (400 miles) of desert and scrub from Darfur to the Khartoum metropolitan area. [ADD] The JEM has identified the overthrow of Omar Hassan al-Bashir's military government as the goal of the rebels.[citation needed] <Events> -- Shootings are reported in Khartoum, Sudan, one day after the rebel attack. Islamist leader Hassan al-Turabi is released from custody after being interrogated by police.  
",1
24,"Omdurman residents said there was more fighting on the morning of May 11. [ADD] Fighting was also reported on May 12, after security forces pursued a small group of suspected rebels. <Reactions> -- Shootings are reported in Khartoum, Sudan, one day after the rebel attack. Islamist leader Hassan al-Turabi is released from custody after being interrogated by police.  
",1
25,"Official figures (as of May 25, 12:00 CST) state that 62,664 are confirmed dead, including 62,161 in Sichuan province, and 358,816 injured, with 23,775 listed as missing. The earthquake left about 4.8 million people homeless. It was the deadliest and strongest earthquake to hit China since the 1976 Tangshan earthquake, which killed at least 240,000 people. [RM] <Summary> -- An aftershock measuring 6.0 on the Richter scale topples thousands of building in Sichuan Province and injures hundreds of people. 
",1
26,"The earthquake had a magnitude of 8.0 Ms according to the State Seismological Bureau of China and 7.9 Mw according to the United States Geological Survey. [ADD] <Summary> -- An aftershock measuring 6.0 on the Richter scale topples thousands of building in Sichuan Province and injures hundreds of people. 
",1
27,"On [ADD] May 25 a major aftershock of 6.0 Mw hit in Qingchuan County, causing one death, 260 injuries, and the collapse of thousands of buildings. Preliminary rupture models of the earthquake indicated displacement of up to 9 meters along a fault approximately 240 km long by 20 km deep. The earthquake generated deformations of the surface greater than 3 meters and increased the stress (and probability of occurrence of future events) at the northeastern and southwestern ends of the fault. On May 20, USGS seismologist Tom Parsons warned that there is ""high risk"" of a major M>7 aftershock over the next weeks or months. <Earthquake details> -- An aftershock measuring 6.0 on the Richter scale topples thousands of building in Sichuan Province and injures hundreds of people. 
",1
28,"China (mainland): All regions except Xinjiang, Jilin and Heilongjiang were affected by the quake. [ADD] <Earthquake details - Extent of tremors> -- An aftershock measuring 6.0 on the Richter scale topples thousands of building in Sichuan Province and injures hundreds of people. 
",1
29,"News report indicate that the poorer, rural villages were hardest hit. Swaminathan Krishnan, assistant professor of civil engineering and geophysics at the California Institute of Technology said: ""the earthquake occurred in the rural part of China. [ADD] <Casualties - Property damage> -- An aftershock measuring 6.0 on the Richter scale topples thousands of building in Sichuan Province and injures hundreds of people. 
",1
30,"China's President Hu Jintao announced that the disaster response would be rapid. Just 90 minutes after the earthquake, Premier Wen Jiabao, who has an academic background in geomechanics, flew to the earthquake area to oversee the rescue work. May 12, 2008, China's Health Ministry said that it had sent 10 emergency medical teams to Wenchuan County in southwest China's Sichuan Province. On the same day, China's Chengdu Military Area Command dispatched 50,000 troops and armed police to help with disaster relief work in Wenchuan County. <Rescue efforts> [ADD] <Rescue efforts> -- An aftershock measuring 6.0 on the Richter scale topples thousands of building in Sichuan Province and injures hundreds of people. 
",1
31,"The Internet has been extensively used for passing information to aid rescue and recovery in China. For example, the official Xinhua has set up an online rescue request center in order to find the blind spots of disaster recovery. After knowing that rescue helicopters had trouble in landing into the epicenter in Wenchuan, a student proposed a landing spot online and it was chosen as the first touchdown place for the helicopters. Volunteers have also set up several websites to help store contact information for victims and evacuees. It is the first time that a national mourning period had been declared for something other than the death of a state leader, and many call it the biggest display of mourning since the death of Mao. At 14:28 CST on May 19, 2008, a week after the earthquake, the Chinese public held a moment of silence. People stood silent for three minutes while air defense, police and fire sirens, and the horns of vehicles, vessels and trains sounded. [ADD] <Reactions within China> -- An aftershock measuring 6.0 on the Richter scale topples thousands of building in Sichuan Province and injures hundreds of people. 
",1
32,"Brazil The Foreign Ministry said Brazil's government was taking the necessary measures to guarantee gas supplies in the country. It also expressed ""grave concern"" at the unrest in Bolivia deploring the outbreak of violence and attacks on state institutions and public order. Aides to President Luiz Inácio Lula da Silva said high-ranking members of his government and Argentina's were ready to try to negotiate a deal between Morales and his opponents. [ADD] <Diplomatic response - Other responses> -- Honduran President Manuel Zelaya tells the incoming U.S. ambassador not to present his credentials in a show of solidarity with Bolivia and Venezuela. 
",1
33,"Ecuador President Rafael Correa said both Bolivia and Venezuela had sufficient reason to expel the U.S. ambassadors saying Ecuador would expel someone if they interfered in his country's internal affairs. [ADD] <Diplomatic response - Other responses> -- Honduran President Manuel Zelaya tells the incoming U.S. ambassador not to present his credentials in a show of solidarity with Bolivia and Venezuela. 
",1
34,"European Union In a statement the EU urged ""all parties to take steps to rapidly establish"" and expressed regret over attacks on aid projects. Flag of South America.svg President of Chile and President pro tempore of the Union of South American Nations Michelle Bachelet summoned an emergency meeting of heads of state in Santiago de Chile to analyze the political situation of Bolivia, scheduled for Monday September 15th. [ADD] He later rejected an invitation to meet with U.S. President George W. Bush out of ""solidarity"" with Morales. -- Honduran President Manuel Zelaya tells the incoming U.S. ambassador not to present his credentials in a show of solidarity with Bolivia and Venezuela. 
",1
35,"As a result of the recent fighting, experts predict the long running conflict could soon come to an end, with the government taking over the final bit of territory controlled by the Tamil Tigers. However the rebels have vowed to fight on, and are expected to wage an underground guerrilla campaign, launching hit and run attacks against the military and suicide bombings around the country, if they are defeated as a conventional force. [ADD] In February 2009, the United States, the European Union, Japan and Norway issued a joing statement urging the Tamil Tigers to lay down their arms and end hostilities against Sri Lanka, as there was just a short time before the Tigers lost all the territory still under their control. -- The United States, European Union, Japan, and Norway urge the Tigers to cease fighting and negotiate with the government. 
",1
36,"It was revealed by French investigators that the names of two passengers on the passenger list for Air France Flight 447 also appear on a classified list of radical Muslim extremists who are considered a threat to the Republic of France (though it is unclear whether the people listed on the passenger list are actually the same people as those on the classified list). The connection was established by the French secret service who were analyzing a list of passengers who were on the aircraft, and noted to the media that the link was considered ""highly significant."" France has received many threats from Islamic terrorists in recent months, especially after French troops were sent to Afghanistan. [ADD] Later the french ministry of interior stated that the two passengers identified turned out to be of no concern. 3 June 2009, an interfaith ecumenical memorial service for family and friends of the victims, organised by Air France, was held at the Cathedral of Notre Dame de Paris. Roman Catholic, Protestant Christian, Muslim, Orthodox Christian, and Jewish clergy attended the service. Among them were the Archbishop of Paris, André Vingt-Trois; Grand Rabbi and Jewish Chaplain of Air Personnel, Haïm Korsia; French Council of the Muslim Faith president, Mohammed Moussaoui; and Protestant Federation of France president, Claude Baty. Uniformed Air France crew members also attended. The service concluded with a reading of the poem ""Footprints in the Sand"" (Portuguese: ""Passos sobre a areia""), attributed on the Air France site to the Brazilian poet Ademar de Barros. Members of the press were forbidden from attending the ceremony. An audio feed was broadcast to the square outside of the cathedral. Pope Benedict XVI offered his sincere condolences and an apostolic blessing to the victims\' families and loved ones in a message sent to the French apostolic nunciature via telegram by the Cardinal Secretary of State, Tarcisio Cardinal Bertone; the message was read at the service. <Investigation - Airspeed inconsistency> -- French authorities say two passengers on board Air France Flight 447 were linked to Islamic terrorism.  The Ministry of the Interior later stated that these two passengers turned out to be of no concern. 
",1
37,"A significant challenge to Ahmadinejad's political power occurred during the 2009 Iranian presidential election that was held on 12 June 2009, the tenth presidential election to be held in the country. The Islamic Republic News Agency, Iran's official news agency, announced that, with two-thirds of the votes counted, incumbent Mahmoud Ahmadinejad had won the election with 66% of the votes cast, and that Mir-Hossein Mousavi had received 33% of the votes cast. The European Union and several western countries expressed concern over alleged irregularities during the vote, and some analysts and journalists from the United States and United Kingdom news media voiced doubts about the authenticity of the results. Mousavi issued a statement accusing the Interior Ministry, responsible for conducting the election, of widespread election fraud and urged his supporters to engage in peaceful protests. He also lodged an official appeal with the Guardian Council for new and more transparent elections. Protests, in favour of Mousavi and against the alleged fraud, broke out in Tehran. Supreme Leader Ayatollah Ali Khamenei urged the nation to unite behind Ahmadinejad, labeling his victory as a ""divine assessment"". Khamenei then announced there would be an investigation into vote-rigging claims. On 16 June, the Guardian Council announced it would recount the votes. However, Mousavi stated that a recount would not be sufficient since 14 million unused ballots were missing, giving the Interior Ministry an opportunity to manipulate the results. [ADD] On June 19, Supreme Leader Ayatullah Ali Khamenei denounced the pro-Mousavi demonstrations as illegal, and protests the next day were met with stiff resistance from government forces, with many reported deaths. -- Riot police clash with protesters in Tehran.   
",1
38,"The July 2009 Ürümqi riots broke out on 5 July 2009, in Ürümqi, the capital city of the Xinjiang Uyghur Autonomous Region, in northwestern China. They involved between 1,000 and 3,000 Uyghurs. The total death toll has risen to at least 156, according to Chinese government sources. [ADD] Late in the day rioting had spread to the neighboring city of Kashgar, with conflicting reports claiming that rioters were ""causing a rampage"" and others reporting that police had fired on a group of protesting students. Many assume that these specific riots were sparked by dissatisfaction with the Chinese central government's handling of the deaths of two Uyghur workers in Guangdong province. Xinhua said more than 800 others have been injured and that many motor vehicles were burned. Police attempted to quell the riots with tear gas, water hoses, armored vehicles, and roadblocks. <Summary> -- Chinese police arrest 1,434 people over rioting in Xinjiang province.   
",1
39,"The exiled World Uyghur Congress said the demonstration began as a peaceful assembly protesting discrimination and ""demanding an explanation"" for the events in Shaoguan, and that the protests turned violent because of police ""brutality"" or police opening fire ""indiscriminately"" into the crowd. The New York Times also reported that violence erupted when police ""confronted a protest march"". According to third party accounts, the supposed confrontation between protesters and police involved about 3,000 Uyghurs—some of whom were, according to a Han witness, armed with batons and knives. Apparently, some 1,000 police officers were dispatched with tasers and weapons. [RM] They fired gunshots into the air to try to quell the unrest, and arrested at least 300 protesters. [SUB] They fired gunshots into the air to try to quell the unrest. [ADD] Up to Sunday evening, 1434 suspects in connection with the riot were arrested. The World Uyghur Congress has claimed that the death toll was much higher, at around 600. During the riot, 260 vehicles were destroyed, including 190 buses. 220 arsons occured and 2 buildings were burnt down. <Initial demonstrations and escalation> -- Chinese police arrest 1,434 people over rioting in Xinjiang province.   
",1
40,"Turkey: The Foreign Ministry released a statement expressing ""deep sadness"" at the recent events, and urged the Chinese authorities to find the perpetrators and bring them to justice. They called the Chinese chargé d\'affaires to the Foreign Ministry to request further information and ""convey sensitivity"" on the matter. Protesters scuffled with police outside the Chinese embassy in Ankara and some burnt a Chinese flag. [RM] Turkey's foreign minister said ""We expect (China) to restore order, bring the culprits to justice in a transparent manner and take steps to improve the civilian humanitarian situation."" [ADD] Turkey's foreign minister said ""We expect (China) to restore order, bring the culprits to justice in a transparent manner and take steps to improve the civilian humanitarian situation."" Turkey is to ask the United Nations Security Council to discuss ways to end the violence. <International reaction - Countries and territories> -- Turkey is to ask the United Nations Security Council to discuss ways to end the violence in Xinjiang. 
",1
41,"Turkey: The Foreign Ministry released a statement expressing ""deep sadness"" at the recent events, and urged the Chinese authorities to find the perpetrators and bring them to justice. Protesters scuffled with police outside the Chinese embassy in Ankara and some burnt a Chinese flag. The Prime Minister, Recep Tayyip Erdoğan, said ""Our expectation is for these incidents that have reached the level of savagery to be rapidly stopped"" and to bring ""those responsible to account"". Turkey is to ask the United Nations Security Council to discuss ways to end the violence. However, the charge d\'affaires of the Turkish Mission to the United Nations, Fazli Corman, told Inner City Press that they ""didn\'t make any moves on that"" and that that the ""reports were not actually based on the realities."" [RM] Turkey's industry and trade minister called on Turks to to boycott Chinese goods. Upon a report that Turkey had twice denied a visa to Rebiya Kadeer, PM Erdogan said “If there is such an application, we will issue a visa for her.” [ADD] Turkey's industry and trade minister called on Turks to to boycott Chinese goods but a spokesman said this was the minister's personal view and not government policy. President Abdullah Gül has referred to his recent visit to Urumchi prior to the strife and said ""This is what is expected of a great country like China: To find and prosecute the perpetrators of the massacre in a transparent way, protect the rights of our Uighur brothers in the best way. As their kindred, it is our right to expect these atrocities to end, and the perpetrators to be tried openly."" Turkey's Parliament Speaker Koksal Toptan has expressed Turkey's concern over the incidents, and said Turkey favored solution of problems of the Uighur within the framework of territorial integrity of China. <International reaction - Countries> -- Turkey's Prime Minister  Erdogan strengthens his rhetoric: ""These incidents in China are as if they are genocide. We ask the Chinese government not to remain a spectator to these incidents."" [permanent dead link]  
",1
42,"Turkey: Due to the Turkic identity of the Uyghur people, the riot has created rifts in the diplomatic relationship between China and Turkey. Officially, the Foreign Ministry released a statement expressing ""deep sadness"" at the recent events, and urged the Chinese authorities to find the perpetrators and bring them to justice. [RM] <International reaction - Countries> -- Turkey's Prime Minister  Erdogan strengthens his rhetoric: ""These incidents in China are as if they are genocide. We ask the Chinese government not to remain a spectator to these incidents."" [permanent dead link]  
",1
43,"United States: White House spokesman Robert Gibbs said the United States regrets the loss of life in Xinjiang, was deeply concerned and called on all sides to exercise restraint. [ADD] Prime minister, Recep Tayyip Erdogan, said that there was ""no other way of commenting on this event"" than saying it was ""a kind of genocide"" <International reaction - Countries> -- Turkey's Prime Minister  Erdogan strengthens his rhetoric: ""These incidents in China are as if they are genocide. We ask the Chinese government not to remain a spectator to these incidents."" [permanent dead link]  
",1
44,"[RM] The 2009 Pishin bombing occurred on October 18, 2009 when a suicide bomber detonated explosives at a meeting in the Iranian town of Pishin. [ADD] The 2009 Pishin bombing occurred on October 18, 2009 when a suicide bomber detonated explosives at a meeting in the southeastern Iranian town of Pishin in Sistan and Baluchestan Province. The attack killed 48 people including several notable IRGC commanders. <Summary> -- The Pakistani charge d'affaires is summoned after Iran says it has evidence the attack had been launched from Pakistani soil. 
",1
45,"The earthquake caused major damage to Port-au-Prince. Most major landmarks were significantly damaged or destroyed, including the Presidential Palace (the President survived), the National Assembly building, the Port-au-Prince Cathedral, and the main jail. To compound the tragedy, most hospitals in the area were destroyed. The United Nations reported that the headquarters of the United Nations Stabilization Mission in Haiti (MINUSTAH), located in the capital, had collapsed and that the Mission's Chief, Hédi Annabi, and his deputy were confirmed dead. Elisabeth Byrs of the U.N. called it the worst disaster the United Nations has experienced because the organizational structures of the U.N. in Haiti and the Haitian government were destroyed. [ADD] The UN warned that the country may resort to lawlessness as up to three million survivors are not receiving needed food and water. An earthquake struck in 1751, and another in 1770 when the island was under French control. According to French historian Moreau de Saint-Méry (1750–1819), ""only one masonry building had not collapsed"" in Port-au-Prince following the 18 October 1751 earthquake, but ""the whole city collapsed"" during the earthquake of 3 June 1770. Another earthquake destroyed the city of Cap-Haïtien and other towns in the northern part of Haiti and the Dominican Republic on 7 May 1842. In 1946, a magnitude-8.0 earthquake struck the Dominican Republic and also shook Haiti, producing a tsunami that killed 1,790 people and injured many others. <Background> -- The United Nations says the earthquake is the worst disaster it has ever had to deal with in its history. 
",1
46,"Argentina renewed claims in June 2006 citing concern over fishing and petroleum rights, amid concern when Britain changed from annually granting fishing concessions, to granting a 25 year concession. On 28 March 2009, UK Prime Minister Gordon Brown stated that there was “nothing to discuss” with Cristina Kirchner, the Argentine president, over sovereignty of the islands, when they met in Chile on his pre-2009 G-20 London Summit world tour. On 22 April 2009 Argentina made a formal claim to the UN to an area of the continental shelf encompassing the Falklands, South Georgia and South Sandwich Islands, and parts of Antarctica, citing 11 years worth of maritime survey data. The UK quickly protested these claims. [RM] In February 2010, in response to British plans to begin drilling for oil, the Argentine government announced that ships travelling to the Falklands (as well as South Georgia and the South Sandwich Islands) would require a permit to use Argentine territorial waters. [ADD] <Post war> -- Desire Petroleum, a British-listed firm, begins drilling for oil at an offshore platform within the territory of the Falkland Islands, amid mounting criticism from Argentina and Venezuela. 
",1
47,"In February 2010, in response to British plans to begin drilling for oil, the Argentine government announced that ships travelling to the Falklands (as well as South Georgia and the South Sandwich Islands) would require a permit to use Argentine territorial waters. The British and Falkland governments stated that this announcement did not affect the waters surrounding the islands. [ADD] Despite the new restrictions, Desire Petroleum began drilling for oil on 22 February, approximately 100km north of the Islands. -- Desire Petroleum, a British-listed firm, begins drilling for oil at an offshore platform within the territory of the Falkland Islands, amid mounting criticism from Argentina and Venezuela. 
",1
48,"[RM] The April 2010 Kohat bombings were a pair of bombings that struck a center for displaced people in the town of Kohat, Pakistan, on April 17, 2010. [ADD] The April 2010 Kohat bombings were a pair of bombings that struck a center for displaced people in the town of Kohat, in the Khyber Pakhtunkhwa Province of Pakistan, on April 17, 2010. At least 41 people were killed, while another 64 more were injured. <Summary> -- Twin bombings on a centre for the displaced in the town of Kohat, Pakistan, kill at least 42 people and injues dozens of others.    
",1
49,"The second 2010 eruption of Eyjafjallajökull volcano in Iceland on 14 April 2010 caused extensive air travel disruption. This action caused millions of passengers to be stranded not only in Europe, but across the world. The volcanic ash cloud has caused further disruptions to air travel operations in Northern Ireland and Scotland on the 4 and 5 May 2010. [RM] Cite error: A <ref> tag is missing the closing </ref> (see the help page). [RM] <Summary> -- The Civil Aviation Authority announces that airspace over Scotland and Northern Ireland will be closed from 0700 BST on Wednesday. 
",1
50,"The presence and location of the plume depended upon the state of the eruption and the winds. [ADD] <Summary> -- The Civil Aviation Authority announces that airspace over Scotland and Northern Ireland will be closed from 0700 BST on Wednesday. 
",1
51,"The eruption occurred beneath glacial ice. [ADD] The cold water from the melting ice chilled the lava quickly, causing it to fragment into very small particles of glass (silica) and ash, which were carried into the eruption plume. [ADD] Due to the extremely fine nature of the ash particles and the large volume of steam produced from the glacial meltwater, an ash plume that is hazardous to aircraft was rapidly sent high into the upper atmosphere. The forecast for 18 April at 06:00 showed a significant plume continuing over northern Europe. Jet stream forecasts indicated the ash cloud plume would persist until at least 21 April, shifting to the south and affecting more southerly parts of France and Italy. Iceland's airspace remained relatively unaffected, being mainly upwind of the eruption site. <Summary> -- The Civil Aviation Authority announces that airspace over Scotland and Northern Ireland will be closed from 0700 BST on Wednesday. 
",1
52,"Israeli spokesmen stated that the flotilla would not be permitted to reach Gaza but would be redirected to the port of Ashdod, where a special detention facility had been set up for the passengers. [ADD] Israeli officials also claimed that all non-banned cargo would be transfered to Gaza after undergoing a security inspection. Activists aboard the ships repeatedly said they would not respond with violence to the navy's interception of their flotilla prior to the boarding. No independent account of the clash is available since the communications are cut off by Israel. <Background> -- Israel's ambassador to Denmark, Arthur Avnon, announces that the Israeli military had received rumours of a report which asserted a link between the flotilla and Al-Qaida.  
",1
53,"There were strong international reactions. Official responses varied from deep concern over the killings to strong condemnations. The UN Security Council formally condemned ""those acts which resulted in the loss of lives"". [RM] Unofficial responses included civilian protests of the Israeli action, following reports of the deaths. <Casualties - Activists> [RM] [ADD] While the British ambassador said Israel should end the Gaza blockade and take steps for an investigation, the US deputy permanent representative supported the Israeli position that humanitarian aid should have gone by ""accepted international mechanisms,"" and the Israeli deputy permanent representative said the flotilla was not humanitarian but had a mission of breaking the blockade. They also called for a prompt, impartial, credible and transparent investigation conforming to international standards. -- Turkey calls for sanctions against Israel.  The United States, a permanent member of the UN Security Council, acts to mitigate the language of the Security Council's draft statement which condemned Israel's action ""in the strongest terms"", opting instead for one that requests an ""impartial"" investigation of the deaths and condemns the ""acts"" that led to it. 
",1
54,"nan -- Turkey calls for sanctions against Israel.  The United States, a permanent member of the UN Security Council, acts to mitigate the language of the Security Council's draft statement which condemned Israel's action ""in the strongest terms"", opting instead for one that requests an ""impartial"" investigation of the deaths and condemns the ""acts"" that led to it. 
",1
55,"[RM] International law experts differ over the legality of the Israel action, with some saying that the raid is a violation of the Law of the Sea, while others maintain that Israel may legally board foreign vessels in international waters as part of a naval blockade. <Casualties - Israeli military> -- Turkey calls for sanctions against Israel.  The United States, a permanent member of the UN Security Council, acts to mitigate the language of the Security Council's draft statement which condemned Israel's action ""in the strongest terms"", opting instead for one that requests an ""impartial"" investigation of the deaths and condemns the ""acts"" that led to it. 
",1
56,"According to Abbas Al Lawati, a Dubai-based Gulf News journalist on board the flotilla, Israel is likely to cite the Gaza–Jericho Agreement (Annex I, Article XI) which vests Israel with the responsibility for security along the coastline and the Sea of Gaza. [ADD] -- Turkey calls for sanctions against Israel.  The United States, a permanent member of the UN Security Council, acts to mitigate the language of the Security Council's draft statement which condemned Israel's action ""in the strongest terms"", opting instead for one that requests an ""impartial"" investigation of the deaths and condemns the ""acts"" that led to it. 
",1
