,response
10,"UPDATED CONTENT:

During the Afghan Civil War (1996–2001), resistance to the Taliban was strongest in northern Afghanistan, where the Northern Alliance held sway. According to the Afghanistan Analysts Network, the northward concentration of Taliban forces may be an attempt to prevent the formation of a new Northern Alliance following the withdrawal of U.S. forces. <Background> -- The Taliban has successfully captured Zaranj, the provincial capital of Nimruz Province, labelling it as their first significant seizure of a provincial city since the 2001 invasion.

However, recent statements by Pentagon spokesman John Kirby indicates that the United States may continue its airstrike campaign against the Taliban. Despite this, he stressed that ""it's up to the Afghan government to defend themselves,"" emphasizing that their battle against the Taliban is their struggle. The U.S, while seeming still invested in the conflict, appears to be passing on the responsibility primarily to Afghan forces."
11,"UPDATED CONTENT:

During the Afghan Civil War (1996–2001), resistance to the Taliban was notably strongest in northern Afghanistan, acting as the base of operations for the Northern Alliance. According to the Afghanistan Analysts Network, the Taliban's massed forces in the north could represent an attempt to forestall the formation of a second Northern Alliance, particularly following the U.S. forces withdrawal. 

Recently, Pentagon spokesman John Kirby announced that the United States is prepared to continue its airstrike campaign against the Taliban as needed. However, he issued a stern warning, stating that ""it is up to the Afghan government to defend themselves"", asserting that ""it is their struggle"". This statement places responsibility on the Afghan government for defense against the Taliban uprising.<Background> -- Prior to this announcement, the Taliban successfully captured Zaranj, the provincial capital of Nimruz Province. This marks the group's first major capture of a provincial city since the 2001 invasion. This victory signifies the increasing power of the group and heightens concern for the security of Afghanistan."
12,"NEW CONTENT:

During the Afghan Civil War (1996–2001), resistance to the Taliban was strongest in northern Afghanistan, which served as the base for the Northern Alliance. The Afghanistan Analysts Network interprets the Taliban's concentration of its forces in this region as an attempt to prevent the establishment of a second Northern Alliance after the withdrawal of U.S. forces. In a turn of events, the Taliban have been able to seize control over eight provincial capitals, with Zaranj, the provincial capital of Nimruz Province, being the primary city to fall under their control since the 2001 invasion. This swift capture of major provincial capitals over the past five days suggests a significant shift in regional power dynamics."
13,"UPDATED CONTENT:

During the Afghan Civil War (1996–2001), resistance to the Taliban was strongest in northern Afghanistan, the region that served as the primary base for the Northern Alliance. Afghanistan Analysts Network suggests that the current Taliban's focus on amassing its forces up north may be an strategic move designed to prevent the formation of a revived Northern Alliance following the withdrawal of U.S. forces. Updates on recent developments reveal that the Taliban is gaining more ground, further capturing the provincial capitals. Now, these are the seventh and eighth provincial capitals to fall under Taliban control in the past five days alone. This is a stark growth in their control, as initially, they had made their major capture of Zaranj, the provincial capital of Nimruz Province, marking it as the first significant gain of a provincial city by the group beyond the 2001 invasion."
14,"UPDATED CONTENT:

During the Afghan Civil War (1996–2001), resistance to the Taliban was strongest in northern Afghanistan, the base of the Northern Alliance. According to the Afghanistan Analysts Network, the Taliban's concentration of its forces in the north may be an attempt to forestall the creation of a second Northern Alliance after the withdrawal of U.S. forces. However, recent decisions have sparked concerns over economic instability. A significant boost in fuel prices is anticipated, deepening the country's economic crisis. <Background> -- The Taliban captures Zaranj, the provincial capital of Nimruz Province, making it the first major capture of a provincial city by the group since the 2001 invasion. The implications of this seizure on the economy and the potential fuel price hike are yet to be fully ascertained."
15,"UPDATED CONTENT:

During the Afghan Civil War (1996–2001), resistance to the Taliban was strongest in northern Afghanistan, the base of the Northern Alliance. According to the Afghanistan Analysts Network, the Taliban's concentration of its forces in the north may be an attempt to forestall the creation of a second Northern Alliance after the withdrawal of U.S. forces. Recently, the jihadist group has also taken control of Kunduz Airport, following the surrender of hundreds of Afghan National Security Forces personnel along with all of their military equipment. <Background> -- This follows the Taliban's capture of Zaranj, the provincial capital of Nimruz Province, making it the first major capture of a provincial city by the group since the 2001 U.S. invasion. With the capture of Kunduz Airport, the Taliban has made yet another significant stride, strengthening their hold over the country's north."
16,"UPDATED CONTENT:

During the Afghan Civil War (1996–2001), resistance to the Taliban was strongest in northern Afghanistan, the base of the Northern Alliance. According to the Afghanistan Analysts Network, the Taliban's concentration of its forces in the north may be an attempt to forestall the creation of a second Northern Alliance after the withdrawal of U.S. forces. 

<Timeline - Fall of the provincial capitals> Recently, a series of significant territorial gains were made by the Taliban which led to the capture of Ghazni, Qala e Naw, Kandahar, and Herat. These were not isolated incidents but part of a greater progression, with a sum total of thirteen provincial capitals being captured by the militant group in just the span of a week. This string of victories significantly expands their territorial control.

<Background> Prior to this, the first notable victory of the Taliban since the U.S. invasion in 2001, was marked by their capture of Zaranj, which is the provincial capital of Nimruz Province. This growing show of power by the Taliban, now seeming on an upward trajectory, indeed underlines an escalating crisis in the region."
17,"UPDATED CONTENT:

During the Afghan Civil War (1996–2001), resistance to the Taliban was strongest in northern Afghanistan, the base of the Northern Alliance. According to the Afghanistan Analysts Network, the Taliban's concentration of its forces in the north may be an attempt to forestall the creation of a second Northern Alliance after the withdrawal of U.S. forces. <Background> -- The Taliban captures Zaranj, the provincial capital of Nimruz Province, making it the first major capture of a provincial city by the group since the 2001 invasion.

<2011 - Timeline> -- The Taliban extends their offensive and captures the provincial capitals of Ghazni, Qala e Naw, Kandahar, and Herat. This brings the number of provincial capitals taken in the past seven days to thirteen, marking significant gains by the group."
18,"UPDATED CONTENT:

During the Afghan Civil War (1996–2001), resistance to the Taliban was concentrated primarily in northern Afghanistan, serving as the base for the Northern Alliance. The Afghanistan Analysts Network suggests that the Taliban's concentration of its forces in the north may be an attempt to forestall the creation of a second Northern Alliance after the withdrawal of U.S. forces. In 2011, the Taliban made substantial territorial gains, capturing the provincial capitals of Ghazni, Qala e Naw, Kandahar, and Herat; this marked an increase in the number of provincial capitals seized by the group to thirteen in just the past week. 

The significance of these seizures is further amplified by the capture of Zaranj, the provincial capital of Nimruz Province, which marked it as the first major capture of a provincial city by the group since the 2001 invasion. The recent seizures only emphasize the growing power and influence of the Taliban in post U.S. withdrawal scenario in Afghanistan."
19,"UPDATED CONTENT:

During the Afghan Civil War (1996–2001), resistance to the Taliban was strongest in northern Afghanistan, the base of the Northern Alliance. According to the Afghanistan Analysts Network, the Taliban's concentration of its forces in the north may be an attempt to forestall the creation of a second Northern Alliance after the withdrawal of U.S. forces. 

<Timeline - Fall of the provincial capitals> -- The Taliban's takeover has escalated rapidly, capturing the provincial capitals of Ghazni, Qala e Naw, Kandahar, and Herat. This brings the total number of provincial capitals seized by the group to thirteen within the past week. Previously, the province of Zaranj, the capital of Nimruz Province, marked the first major capture by the Taliban since the U.S. invasion in 2001. The consecutive captures symbolize a significant surge in the Taliban's territorial control following the withdrawal of U.S. forces."
20,"UPDATED CONTENT:

Amidst the ongoing conflicts in Afghanistan, the Taliban is steadily gaining control over various regions. Since the 1996-2001 Afghan Civil War, the northern side of Afghanistan showed the fiercest resistance against the Taliban, working as the base of the influential Northern Alliance. As per the studies conducted by the Afghanistan Analysts Network, the strategic positioning of Taliban forces in the north might be a deliberate move to prevent the formation of a new Northern Alliance following the departure of U.S. forces. 

Recently, the Taliban managed to capture Zaranj, the provincial capital of Nimruz Province. This represents a significant gain as it's the first major capture of a provincial city by the group since the 2001 invasion.

Latest updates indicate that the Taliban's advances continue unabated. The group has now taken over the provincial capitals of Lashkargah, Chaghcharan, Puli Alam, Qalati Ghilji, and Tarinkot. In the span of just eight days, the Taliban has seized control of eighteen provincial capitals. This shift in power dynamics marks a significant turning point in Afghanistan's ongoing conflicts and has major implications for the future of the country."
21,"UPDATED CONTENT:

During the Afghan Civil War (1996–2001), resistance to the Taliban was strongest in northern Afghanistan, the base of the Northern Alliance. According to the Afghanistan Analysts Network, the Taliban's concentration of its forces in the north may be an attempt to forestall the creation of a second Northern Alliance after the withdrawal of U.S. forces. <Background> -- The Taliban recently captured Zaranj, the provincial capital of Nimruz Province, making it the first major capture of a provincial city by the group since the 2001 invasion. 

In a new development, the Islamic State has claimed responsibility for a recent attack. The extremist group's involvement adds a complex new layer to the rekindled conflict. The motivations and implications of this assault remain under investigation as the situation in the region continues to evolve."
22,"UPDATED CONTENT:

During the Afghan Civil War (1996–2001), the Taliban faced formidable resistance, most pronounced in the northern Afghanistan - a stronghold of the Northern Alliance. Analysts from the Afghanistan Analysts Network see the Taliban's concentrated presence in the north as a potential strategy to deter the formation of a new Northern Alliance amidst the departure of U.S forces. Significantly, the Taliban seized control of Zaranj, the provincial capital of the Nimruz Province, marking its first capture of a significant city since the 2001 invasion. In a recently developed situation, the Islamic State has claimed responsibility for the attack, adding a new layer of complexity to the volatile situation."
23,"UPDATED CONTENT:

During the Afghan Civil War (1996–2001), resistance to the Taliban was strongest in northern Afghanistan, where the Northern Alliance, the region's primary resistance group, was based. According to the Afghanistan Analysts Network, the Taliban's concentration of forces in the north could indicate an attempt to prevent the formation of a new Northern Alliance following the withdrawal of U.S. forces. Recent developments, however, point towards a rising threat from the Islamic State. The extremist group has claimed responsibility for a recent attack -- a reminder that multiple conflicting interests continue to destabilize the region. <Background> -- The Taliban recently captured Zaranj, the provincial capital of Nimruz Province. This event marked the first major city to fall into the group's control since the 2001 invasion. As these events unfold, the region's volatile security situation appears to be further complicated by the involvement of the Islamic State."
24,"UPDATED CONTENT:

In the midst of the Afghan Civil War (1996–2001), resistance against the Taliban was primarily witnessed in northern Afghanistan, which was the home base for the Northern Alliance. According to recent claims by the Afghanistan Analysts Network, the Taliban has apparently focused its troops in the north as a pre-emptive move to prevent the revival of a second Northern Alliance after the withdrawal of U.S. forces. <Background> -- Amidst the current political turmoil, the Taliban claimed the capture of Zaranj, the provincial capital of Nimruz Province. This signaled the group's first significant seizure of a provincial city since the 2001 invasion. 

In a recent development, the Islamic State has claimed responsibility for the attack. This update underscores the volatile scenario on the ground, with multiple factions vying for control."
25,"UPDATED CONTENT:

During the Afghan Civil War (1996–2001), resistance to the Taliban was potent in northern Afghanistan, the stronghold of the Northern Alliance. According to the Afghanistan Analysts Network, the Taliban's focus on its forces in the north may demonstrate attempts to prevent the development of a second Northern Alliance following the withdrawal of U.S. forces. In recent developments, the Taliban took control of Zaranj, the provincial capital of Nimruz Province, marking it as the first significant capture of a provincial city by the group since the 2001 invasion. 

In an alarming twist, the Islamic State has now claimed responsibility for the attack. The implications of this claim on the current volatility of the region are yet to be fully understood."
26,"UPDATED CONTENT:

During the Afghan Civil War (1996–2001), resistance to the Taliban was strongest in northern Afghanistan, the base of the Northern Alliance. According to the Afghanistan Analysts Network, the Taliban's focus on the north may be an attempt to silence the creation of a second Northern Alliance after the U.S. forces withdrawal. Amidst the ongoing conflicts, the Taliban recently managed to capture Zaranj, the provincial capital of Nimruz Province. This made it the first major capture of a provincial city by the group since the 2001 invasion. Latest reports, however, indicate a drastic turn of events as the Islamic State has claimed responsibility for the attack."
27,"During the Afghan Civil War (1996–2001), resistance to the Taliban was strongest in northern Afghanistan, the base of the Northern Alliance. According to the Afghanistan Analysts Network, the Taliban's concentration of its forces in the north may be an attempt to forestall the creation of a second Northern Alliance after the withdrawal of U.S. forces. <Background> -- The Taliban captures Zaranj, the provincial capital of Nimruz Province, making it the first major capture of a provincial city by the group since the 2001 invasion. 

In unrelated but important international news, as of June 2021, Michigan has surpassed 20,000 deaths from COVID-19, marking a grim milestone for the U.S. state. The health crisis continues to evolve, with authorities and medical personnel battling to curb its destructive path and save lives. This alarming figure underlines the urgent and ongoing need for effective and widespread public health measures to contain the virus."
28,"During the Afghan Civil War (1996–2001), resistance to the Taliban was strongest in northern Afghanistan, the base of the Northern Alliance. According to the Afghanistan Analysts Network, the Taliban's concentration of its forces in the north may be an attempt to forestall the creation of a second Northern Alliance after the withdrawal of U.S. forces. Meanwhile, in unrelated news, the COVID-19 pandemic continues to wreak havoc globally. <Background> -- The Taliban captures Zaranj, the provincial capital of Nimruz Province, making it the first major capture of a provincial city by the group since the 2001 invasion. <Condensed timeline - June 2021> -- Michigan surpasses 20,000 deaths from COVID-19, marking a grim milestone in the state's battle against the virus."
29,"During the Afghan Civil War (1996–2001), resistance to the Taliban was strongest in northern Afghanistan, the base of the Northern Alliance. According to the Afghanistan Analysts Network, the Taliban's concentration of its forces in the north may be an attempt to forestall the creation of a second Northern Alliance after the withdrawal of U.S. forces. Amidst this, other global challenges persist. For instance, in the United States, Michigan has surpassed 20,000 deaths from COVID-19, highlighting the continuing impact of the pandemic. Back in Afghanistan, there has been a significant development. <Background> -- The Taliban have managed to capture Zaranj, the provincial capital of Nimruz Province, marking it as the first major capture of a provincial city by the group since the 2001 invasion."
30,"UPDATED CONTENT:

During the Afghan Civil War (1996–2001), resistance to the Taliban was centered predominantly in northern Afghanistan, the home base of the Northern Alliance. Per the Afghanistan Analysts Network, the Taliban's decision to focus its forces in the north could be an attempt to quash a potential formation of a second Northern Alliance following the departure of U.S. forces. 

Recently, President Ashraf Ghani visited the city of Mazar-i-Sharif on Wednesday, marking another significant event in the continuing situation. Amid these developments, the Taliban continues its advance, having already captured Zaranj, the provincial capital of Nimruz Province. This represents the first major capture of a provincial city by the group since the 2001 invasion. This course of events further emphasizes the escalating situation in Afghanistan."
31,"UPDATED CONTENT:

Resistance to the Taliban during the Afghan Civil War (1996–2001) was predominantly largest in northern Afghanistan, home to the Northern Alliance. According to the Afghanistan Analysts Network, the Taliban's build-up of its forces in the north might be perceived as a proactive attempt to forestall the formation of a successor to the Northern Alliance following the withdrawal of American troops. <Background> -- Recently, the Taliban overran Zaranj, the provincial capital of Nimruz Province. This marked the group's first significant seizure of a provincial city since the invasion in 2001.

In a recent development, President Ashraf Ghani visited Mazar-i-Sharif on Wednesday. This visit came amidst the on-going political and military complexities in the nation, heightening the significance of Ghani's move. The visit serves a beacon, reaffirming the commitment of the nation's leadership during these turbulent times."
32,"During the Afghan Civil War (1996–2001), resistance to the Taliban was strongest in northern Afghanistan, the base of the Northern Alliance. According to the Afghanistan Analysts Network, the Taliban's concentration of its forces in the north may be an attempt to forestall the creation of a second Northern Alliance after the withdrawal of U.S. forces. Recently, the Taliban has made significant advancements, capturing Zaranj, the provincial capital of Nimruz Province, marking the first major capture of a provincial city by the group since the 2001 invasion headed by Hamid Karzai. This incursion highlights the precarious state of stability in the region, following the withdrawal of U.S forces."
33,"During the Afghan Civil War (1996–2001), resistance to the Taliban was strongest in northern Afghanistan, the base of the Northern Alliance. According to the Afghanistan Analysts Network, the Taliban's concentration of its forces in the north may be an effort to prevent the formation of a second Northern Alliance after the withdrawal of U.S. forces. Following the U.S. invasion in 2001, Hamid Karzai was appointed as the first President of the new democratic Afghanistan. <Background> -- The Taliban captures Zaranj, the provincial capital of Nimruz Province, marking it as the first significant seizure of a provincial city by the group since the 2001 invasion by U.S. forces and the subsequent era under President Karzai's leadership."
34,"UPDATED CONTENT:

During the Afghan Civil War (1996–2001), resistance to the Taliban was strongest in northern Afghanistan, the base of the Northern Alliance. According to the Afghanistan Analysts Network, the Taliban's concentration of its forces in the north may be an attempt to forestall the creation of a second Northern Alliance after the withdrawal of U.S. forces. <Background> -- The Taliban captures Zaranj, the provincial capital of Nimruz Province, making it the first major capture of a provincial city by the group since the 2001 invasion. <Timeline - 2021> -- Prime Minister Justin Trudeau obtains the dissolution of the House of Commons for an election scheduled on September 20."
35,"During the Afghan Civil War (1996–2001), resistance to the Taliban was strongest in northern Afghanistan, the base of the Northern Alliance. According to the Afghanistan Analysts Network, the Taliban's concentration of its forces in the north may be an attempt to forestall the creation of a second Northern Alliance after the withdrawal of U.S. forces. Meanwhile, unrelated developments in world politics emerged: Prime Minister Justin Trudeau has recently obtained the dissolution of the House of Commons in Canada, setting an election date for September 20. Further in South Asia, the Taliban captures Zaranj, the provincial capital of Nimruz Province. This notable event marks the first major capture of a provincial city by the group since the 2001 invasion."
36,"UPDATED CONTENT:

During the Afghan Civil War (1996–2001), resistance to the Taliban was strongest in northern Afghanistan, the base of the Northern Alliance. According to the Afghanistan Analysts Network, the Taliban's concentration of its forces in the north may be an attempt to forestall the creation of a second Northern Alliance after the withdrawal of U.S. forces. Currently, despite the volatility in the region, the Turkish embassy continues to operate. <Background> -- The Taliban recently captured Zaranj, the provincial capital of Nimruz Province. This marked the first major takeover of a provincial city by the group since the 2001 invasion."
37,"During the Afghan Civil War (1996–2001), resistance to the Taliban was strongest in northern Afghanistan, the base of the Northern Alliance. According to the Afghanistan Analysts Network, the Taliban's concentration of its forces in the north may be an attempt to forestall the creation of a second Northern Alliance after the withdrawal of U.S. forces. <Background> -- The Taliban captures Zaranj, the provincial capital of Nimruz Province, making it the first major capture of a provincial city by the group since the 2001 invasion. In unrelated global news, Melbourne is facing extended lockdown restrictions. The Australian city is now set to endure a controversial nighttime curfew and other tightened measures for an additional two weeks."
38,"UPDATED CONTENT:

During the Afghan Civil War (1996–2001), resistance to the Taliban was strongest in northern Afghanistan, the base of the Northern Alliance. According to the Afghanistan Analysts Network, the Taliban's concentration of its forces in the north may be an attempt to forestall the creation of a second Northern Alliance after the withdrawal of U.S. forces. <Background> -- The Taliban captures Zaranj, the provincial capital of Nimruz Province, making it the first major capture of a provincial city by the group since the 2001 invasion. 

In unrelated news, developments occurring overseas in Melbourne, Australia have put the city back under severe lockdown restrictions. For an additional two weeks, the city's strategies are becoming increasingly stringent, with the reestablishment of a controversial nighttime curfew. The effect and response to these measures is yet to be observed."
39,"During the Afghan Civil War (1996–2001), resistance to the Taliban was strongest in northern Afghanistan, the base of the Northern Alliance. According to the Afghanistan Analysts Network, the Taliban's concentration of its forces in the north may be an attempt to forestall the creation of a second Northern Alliance after the withdrawal of U.S. forces. <Background> -- The Taliban captures Zaranj, the provincial capital of Nimruz Province, making it the first major capture of a provincial city by the group since the 2001 invasion. In unrelated news, Melbourne is experiencing significant changes due to the COVID-19 pandemic. The lockdown restrictions in Melbourne have been extended and tightened for an additional two weeks, with a controversial nighttime curfew reinstated."
40,"UPDATED CONTENT:

During the Afghan Civil War (1996–2001), resistance to the Taliban was strongest in northern Afghanistan, the base of the Northern Alliance. According to the Afghanistan Analysts Network, the Taliban's concentration of its forces in the north may be an attempt to forestall the creation of a second Northern Alliance following the cessation of U.S. forces. <Background> -- The Taliban has seized Zaranj, the provincial capital of Nimruz Province, marking this as the group's first major capture of a provincial city since the 2001 invasion.

In other international news, lockdown restrictions in Melbourne have been further extended and tightened for an additional two weeks. This includes the implementation of a controversial nighttime curfew, an action that has seen both compliance and critique amongst the public."
41,"UPDATED CONTENT:

During the Afghan Civil War (1996–2001), resistance to the Taliban was strongest in northern Afghanistan, the base of the Northern Alliance. According to the Afghanistan Analysts Network, the Taliban's concentration of its forces in the north may be an attempt to forestall the creation of a second Northern Alliance after the withdrawal of U.S. forces. 

Meanwhile, in a turn of events, lockdown restrictions in Melbourne are extended and tightened for an additional two weeks. The update has come with the controversial nighttime curfew being reinstated, causing a stir among the Melbourne populace.

<Background> -- The Taliban captures Zaranj, the provincial capital of Nimruz Province, making it the first major capture of a provincial city by the group since the 2001 invasion. It becomes crucial to keep an eye on the evolving geopolitical landscape as the repercussions could be far-reaching."
42,"UPDATED CONTENT:

During the Afghan Civil War (1996–2001), resistance toward the Taliban largely concentrated in the north of Afghanistan, serving as the stronghold of the Northern Alliance. In response to speculations from the Afghanistan Analysts Network that the Taliban's concentration of its forces in the north might be an attempt to forestall the re-emergence of a counterpart to the Northern Alliance post-US troop withdrawal, new developments have taken place. Previously, the Taliban's takeover of Zaranj, the provincial capital of Nimruz Province, marked it as the group's first major capture of a provincial city since the 2001 invasion. 

Still, signs of resonating resistance have emerged. Russian intelligence sources now report that Panjshir resistance forces - those loyal to Amrullah Saleh - have successfully recaptured Charikar and its surrounding areas within Parwan Province from Taliban control. This signifies not only a strategic setback for the Taliban but also serves as a refreshing hint toward the potential resurgence of forces similar to the former Northern Alliance.<History>"
43,"UPDATED CONTENT:

During the Afghan Civil War (1996–2001), resistance to the Taliban was strongest in northern Afghanistan, the base of the Northern Alliance. According to the Afghanistan Analysts Network, the Taliban's concentration of its forces in the north may be an attempt to forestall the creation of a second Northern Alliance after the withdrawal of U.S. forces. <Background> -- The Taliban captures Zaranj, the provincial capital of Nimruz Province, making it the first major capture of a provincial city by the group since the 2001 invasion.

On the other hand, Singapore has begun to open up its borders in light of the global situation amidst the Covid-19 pandemic. As part of its initiatives to revive its tourism industry, the country has launched Vaccinated Travel Lanes for fully vaccinated travelers from Germany and Brunei. In addition to this, quarantine-free restrictions have been eased for visitors from Hong Kong, Macau, Mainland China (excluding Jiangsu Province), New Zealand, and Taiwan. <Domestic Impact - Tourism Industry>. Regardless of the global conflicts, life seems to be cautiously returning to a semblance of normality with these developments."
44,"During the Afghan Civil War (1996–2001), resistance to the Taliban was strongest in northern Afghanistan, the base of the Northern Alliance. According to the Afghanistan Analysts Network, the Taliban's concentration of its forces in the north may be an attempt to forestall the creation of a second Northern Alliance after the withdrawal of U.S. forces. The Taliban captures Zaranj, the provincial capital of Nimruz Province, making it the first major capture of a provincial city by the group since the 2001 invasion.

<Domestic impact - Tourism Industry> -- Singapore is making efforts to reopen its borders in the wake of the global pandemic. The country has launched Vaccinated Travel Lanes for fully vaccinated travellers from Germany and Brunei. This is in an attempt to kick-stir the tourism industry that has been hit hard due to the pandemic and travel restrictions. Additionally, quarantine-free restrictions will be eased for travellers from Hong Kong, Macau, Mainland China outside of Jiangsu Province, New Zealand and Taiwan."
